player_season_name,season,ir_name,fuzzy_score
josh reynolds,2018,josh reynolds,100.0
desean jackson,2018,desean jackson,100.0
desean jackson,2018,asa jackson,80.0
desean jackson,2018,deon jackson,84.61538461538461
desean jackson,2018,dane jackson,84.61538461538461
taywan taylor,2018,taywan taylor,100.0
curtis samuel,2018,curtis samuel,100.0
cooper kupp,2018,cooper kupp,100.0
jordan reed,2018,jordan reed,100.0
jordan reed,2018,reggie jordan,83.33333333333334
jordan reed,2018,jordan rigsbee,80.0
tyler lockett,2018,tyler lockett,100.0
tyler lockett,2018,tyler ott,81.81818181818181
maurice harris,2018,marcell harris,85.71428571428572
maurice harris,2018,maurice harris,100.0
quincy enunwa,2018,quincy enunwa,100.0
adam humphries,2018,dj humphries,84.61538461538461
adam humphries,2018,adam humphries,100.0
chris conley,2018,chris cooley,91.66666666666666
chris conley,2018,chris conte,86.95652173913044
chris conley,2018,chris conley,100.0
chris conley,2018,chris wormley,80.0
kendrick bourne,2018,kendrick bourne,100.0
robby anderson,2018,rodney anderson,82.75862068965517
robby anderson,2018,troy andersen,81.4814814814815
jamison crowder,2018,jamison crowder,100.0
jermaine kearse,2018,jermaine kearse,100.0
calvin ridley,2018,calvin ridley,100.0
robert foster,2018,robert foster,100.0
marquez valdes-scantling,2018,marquez valdes-scantling,100.0
danny amendola,2018,danny amendola,100.0
jimmy graham,2018,jimmy graham,100.0
chris godwin,2018,chris godwin,100.0
chris hogan,2018,chris hovan,90.9090909090909
chris hogan,2018,chris hogan,100.0
julian edelman,2018,julian edelman,100.0
christian kirk,2018,christian kirksey,90.32258064516128
christian kirk,2018,christian kirk davon,82.35294117647058
odell beckham,2018,odell beckham jr,89.65517241379311
tajae sharpe,2018,tajae sharpe,100.0
emmanuel sanders,2018,daniel sanders,80.0
emmanuel sanders,2018,emmanuel sanders,100.0
dede westbrook,2018,dede westbrook,100.0
rob gronkowski,2018,rob gronkowski,100.0
evan engram,2018,evan engram,100.0
zach ertz,2018,zach ertz,100.0
corey davis,2018,cody davis,85.71428571428572
ian thomas,2018,brian thomas b,83.33333333333334
ian thomas,2018,logan thomas,81.81818181818181
ian thomas,2018,thomas hennigan,80.0
ian thomas,2018,ian thomas c,90.9090909090909
ian thomas,2018,brian thomas jr,80.0
demaryius thomas,2018,demaryius thomas,100.0
stefon diggs,2018,trevon diggs,83.33333333333334
stefon diggs,2018,stefon diggs,100.0
t.y. hilton,2018,ty hilton,90.0
sterling shepard,2018,sterling shepard,100.0
jordy nelson,2018,jordy nelson,100.0
jordy nelson,2018,jr nelson,85.71428571428572
jordy nelson,2018,corey nelson,83.33333333333334
marquise goodwin,2018,marquise goodwin,100.0
marquise goodwin,2018,marquise brown,80.0
ryan switzer,2018,ryan switzer,100.0
adam thielen,2018,adam thielen,100.0
kyle rudolph,2018,kyle rudolph,100.0
trey burton,2018,trey burton,100.0
trey burton,2018,tre brown,80.0
eric ebron,2018,eric ebron,100.0
chris herndon,2018,chris horton,80.0
chris herndon,2018,chris herndon,100.0
nick vannett,2018,nick vannett,100.0
mohamed sanu,2018,mohamed sanu,100.0
julio jones,2018,julio jones,100.0
mike evans,2018,mike evans lynn,80.0
john brown,2018,jamon brown,85.71428571428572
john brown,2018,jaron brown,85.71428571428572
john brown,2018,noah brown,80.0
john brown,2018,jayon brown,85.71428571428572
john brown,2018,john brown b --,80.0
john brown,2018,jordan brown,81.81818181818181
chester rogers,2018,chester rogers,100.0
brandin cooks,2018,brandin cooks,100.0
brandin cooks,2018,brandon brooks,81.4814814814815
brandin cooks,2018,brandin echols,81.4814814814815
jeff heuerman,2018,jeff heuerman,100.0
ryan grant,2018,logan ryan,80.0
jarvis landry,2018,jarvis landry,100.0
cameron brate,2018,cameron bradfield,80.0
cameron brate,2018,cameron brate,100.0
cameron brate,2018,cameron batson,81.4814814814815
tyler boyd,2018,tyler boyd,100.0
travis kelce,2018,travis kelce,100.0
josh doctson,2018,josh doctson,100.0
jared cook,2018,jared cook,100.0
tre'quan smith,2018,trequan smith,96.2962962962963
pierre garcon,2018,pierre garcon,100.0
tyrell williams,2018,tourek williams,80.0
tyrell williams,2018,trent williams,82.75862068965517
tyrell williams,2018,terrell williams jr,82.35294117647058
tyrell williams,2018,trey williams,85.71428571428572
tyrell williams,2018,trevor williams,80.0
tyrell williams,2018,darrel williams,80.0
tyrell williams,2018,tyrell williams,100.0
tyrell williams,2018,trill williams,89.65517241379311
tyrell williams,2018,kyren williams,82.75862068965517
david njoku,2018,david njoku,100.0
allen robinson,2018,lee robinson,84.61538461538461
allen robinson,2018,laurent robinson,80.0
allen robinson,2018,allen robinson ii,90.32258064516128
allen robinson,2018,alton robinson,85.71428571428572
vance mcdonald,2018,vance mcdonald,100.0
sammy watkins,2018,sammy watkins,100.0
kelvin benjamin,2018,kelvin benjamin,100.0
kelvin benjamin,2018,eno benjamin,81.4814814814815
alshon jeffery,2018,alshon jeffery,100.0
will fuller,2018,will fuller v,91.66666666666666
chad williams,2018,chavis williams,85.71428571428572
chad williams,2018,chase williams a,82.75862068965517
chad williams,2018,ishaq williams,81.4814814814815
chad williams,2018,andre williams,81.4814814814815
chad williams,2018,chad williams b --,83.87096774193549
chad williams,2018,chase williams b,82.75862068965517
george kittle,2018,george kittle,100.0
willie snead,2018,willie snead iv,88.88888888888889
john ross,2018,john ross iii,81.81818181818181
john ross,2018,josh ross,88.88888888888889
randall cobb,2018,randall cobb,100.0
dante pettis,2018,dante pettis,100.0
daesean hamilton,2018,davon hamilton,80.0
michael gallup,2018,michael gallup,100.0
juju smith-schuster,2018,juju smith-schuster,100.0
ricky seals-jones,2018,ricky seals-jones,100.0
keenan allen,2018,keenan allen,100.0
mark andrews,2018,mark andrews,100.0
mark andrews,2018,jake andrews,83.33333333333334
anthony miller,2018,anthony miller b --,84.84848484848484
dallas goedert,2018,dallas goedert,100.0
ryan griffin,2018,ryan griffin b --,82.75862068965517
ryan griffin,2018,ryan griffin b --,82.75862068965517
ryan griffin,2018,ryan griffin b --,82.75862068965517
ryan griffin,2018,ryan griffin b --,82.75862068965517
devante parker,2018,devante parker,100.0
c.j. uzomah,2018,cj uzomah,90.0
devin funchess,2018,devin funchess,100.0
antonio callaway,2018,antonio callaway,100.0
mike williams,2018,mario williams,81.4814814814815
mike williams,2018,madieu williams,85.71428571428572
mike williams,2018,mike williams troy,83.87096774193549
mike williams,2018,eddie williams,81.4814814814815
mike williams,2018,mike willie,83.33333333333334
mike williams,2018,kyren williams,81.4814814814815
mike williams,2018,damien williams,85.71428571428572
mike williams,2018,mike williams k,92.85714285714286
deandre hopkins,2018,deandre thompkins,93.75
deandre hopkins,2018,deandre hopkins,100.0
david moore,2018,devin moore,81.81818181818181
david moore,2018,dan moore,80.0
david moore,2018,david moore b --,81.4814814814815
josh gordon,2018,josh gordy,85.71428571428572
josh gordon,2018,josh gordon,100.0
michael thomas,2018,michael thomas b --,84.84848484848484
michael thomas,2018,michael ola,80.0
michael thomas,2018,michael thomas b --,84.84848484848484
michael thomas,2018,michael ola,80.0
michael thomas,2018,michael thomas b --,84.84848484848484
michael thomas,2018,michael ola,80.0
michael thomas,2018,michael thomas b --,84.84848484848484
michael thomas,2018,michael ola,80.0
courtland sutton,2018,courtland sutton,100.0
o.j. howard,2018,oj howard,90.0
antonio gates,2018,antonio gates,100.0
marvin jones,2018,marvin jones jr,88.88888888888889
calvin ridley,2019,calvin ridley,100.0
corey davis,2019,cody davis,85.71428571428572
ted ginn,2019,ted ginn jr,84.21052631578947
albert wilson,2019,albert wilson,100.0
jacob hollister,2019,jacob hollister,100.0
steven sims,2019,steven sims jr,88.0
chris godwin,2019,chris godwin,100.0
trey quinn,2019,trey quinn,100.0
olabisi johnson,2019,olabisi johnson,100.0
marvin jones,2019,marvin jones jr,88.88888888888889
d.j. chark,2019,dj chark,88.88888888888889
hunter renfrow,2019,hunter renfrow,100.0
allen lazard,2019,allen lazard,100.0
marquise brown,2019,marquise goodwin,80.0
marquise brown,2019,marquise brown,100.0
adam thielen,2019,adam thielen,100.0
allen hurns,2019,allen hurns,100.0
cooper kupp,2019,cooper kupp,100.0
danny amendola,2019,danny amendola,100.0
tyler lockett,2019,tyler lockett,100.0
tyler lockett,2019,tyler ott,81.81818181818181
josh reynolds,2019,josh reynolds,100.0
randall cobb,2019,randall cobb,100.0
nick boyle,2019,nick foles,80.0
nick boyle,2019,nick boyle,100.0
dede westbrook,2019,dede westbrook,100.0
james washington,2019,jameis winston,80.0
james washington,2019,james washington edward,82.05128205128204
brandin cooks,2019,brandin cooks,100.0
brandin cooks,2019,brandon brooks,81.4814814814815
brandin cooks,2019,brandin echols,81.4814814814815
diontae johnson,2019,dontae johnson,96.55172413793103
diontae johnson,2019,diontae johnson,100.0
diontae johnson,2019,dyontae johnson,93.33333333333333
t.y. hilton,2019,ty hilton,90.0
mark andrews,2019,mark andrews,100.0
mark andrews,2019,jake andrews,83.33333333333334
jamison crowder,2019,jamison crowder,100.0
christian kirk,2019,christian kirksey,90.32258064516128
christian kirk,2019,christian kirk davon,82.35294117647058
tyler higbee,2019,tyler higbee,100.0
kendrick bourne,2019,kendrick bourne,100.0
breshad perriman,2019,breshad perriman,100.0
zach ertz,2019,zach ertz,100.0
evan engram,2019,evan engram,100.0
jonnu smith,2019,jason smith,81.81818181818181
jonnu smith,2019,djoun smith,81.81818181818181
jonnu smith,2019,jonnu smith,100.0
russell gage,2019,russell gage,100.0
t.j. hockenson,2019,tj hockenson,92.3076923076923
demaryius thomas,2019,demaryius thomas,100.0
curtis samuel,2019,curtis samuel,100.0
auden tate,2019,auden tate,100.0
john ross,2019,john ross iii,81.81818181818181
john ross,2019,josh ross,88.88888888888889
jordan akins,2019,jordan evans,83.33333333333334
jordan akins,2019,jordan jenkins,84.61538461538461
jordan akins,2019,jordan davis,83.33333333333334
deebo samuel,2019,deebo samuel,100.0
eric ebron,2019,eric ebron,100.0
damiere byrd,2019,damiere byrd,100.0
anthony miller,2019,anthony miller b --,84.84848484848484
sterling shepard,2019,sterling shepard,100.0
marquez valdes-scantling,2019,marquez valdes-scantling,100.0
julian edelman,2019,julian edelman,100.0
jarvis landry,2019,jarvis landry,100.0
geronimo allison,2019,geronimo allison,100.0
kyle rudolph,2019,kyle rudolph,100.0
dallas goedert,2019,dallas goedert,100.0
jimmy graham,2019,jimmy graham,100.0
michael gallup,2019,michael gallup,100.0
julio jones,2019,julio jones,100.0
will fuller,2019,will fuller v,91.66666666666666
willie snead,2019,willie snead iv,88.88888888888889
odell beckham,2019,odell beckham jr,89.65517241379311
adam humphries,2019,dj humphries,84.61538461538461
adam humphries,2019,adam humphries,100.0
hunter henry,2019,hunter henry,100.0
tyler boyd,2019,tyler boyd,100.0
josh gordon,2019,josh gordy,85.71428571428572
josh gordon,2019,josh gordon,100.0
cameron brate,2019,cameron bradfield,80.0
cameron brate,2019,cameron brate,100.0
cameron brate,2019,cameron batson,81.4814814814815
jack doyle,2019,jack doyle,100.0
keenan allen,2019,keenan allen,100.0
travis kelce,2019,travis kelce,100.0
tyler eifert,2019,tyler eifert,100.0
irv smith,2019,irv smith jr,85.71428571428572
darren waller,2019,darren waller,100.0
demarcus robinson,2019,denard robinson,81.25
demarcus robinson,2019,darius robinson,87.5
sammy watkins,2019,sammy watkins,100.0
mike evans,2019,mike evans lynn,80.0
phillip dorsett,2019,phillip dorsett ii,90.9090909090909
daesean hamilton,2019,davon hamilton,80.0
mike williams,2019,mario williams,81.4814814814815
mike williams,2019,madieu williams,85.71428571428572
mike williams,2019,mike williams troy,83.87096774193549
mike williams,2019,eddie williams,81.4814814814815
mike williams,2019,mike willie,83.33333333333334
mike williams,2019,kyren williams,81.4814814814815
mike williams,2019,damien williams,85.71428571428572
mike williams,2019,mike williams k,92.85714285714286
greg olsen,2019,greg toler,80.0
greg olsen,2019,greg olsen,100.0
greg olsen,2019,greg senat,80.0
vance mcdonald,2019,vance mcdonald,100.0
mohamed sanu,2019,mohamed sanu,100.0
michael thomas,2019,michael thomas b --,84.84848484848484
michael thomas,2019,michael ola,80.0
michael thomas,2019,michael thomas b --,84.84848484848484
michael thomas,2019,michael ola,80.0
michael thomas,2019,michael thomas b --,84.84848484848484
michael thomas,2019,michael ola,80.0
michael thomas,2019,michael thomas b --,84.84848484848484
michael thomas,2019,michael ola,80.0
george kittle,2019,george kittle,100.0
emmanuel sanders,2019,daniel sanders,80.0
emmanuel sanders,2019,emmanuel sanders,100.0
courtland sutton,2019,courtland sutton,100.0
allen robinson,2019,lee robinson,84.61538461538461
allen robinson,2019,laurent robinson,80.0
allen robinson,2019,allen robinson ii,90.32258064516128
allen robinson,2019,alton robinson,85.71428571428572
devante parker,2019,devante parker,100.0
o.j. howard,2019,oj howard,90.0
deandre hopkins,2019,deandre thompkins,93.75
deandre hopkins,2019,deandre hopkins,100.0
chris conley,2019,chris cooley,91.66666666666666
chris conley,2019,chris conte,86.95652173913044
chris conley,2019,chris conley,100.0
chris conley,2019,chris wormley,80.0
tyrell williams,2019,tourek williams,80.0
tyrell williams,2019,trent williams,82.75862068965517
tyrell williams,2019,terrell williams jr,82.35294117647058
tyrell williams,2019,trey williams,85.71428571428572
tyrell williams,2019,trevor williams,80.0
tyrell williams,2019,darrel williams,80.0
tyrell williams,2019,tyrell williams,100.0
tyrell williams,2019,trill williams,89.65517241379311
tyrell williams,2019,kyren williams,82.75862068965517
a.j. brown,2019,aj brown,88.88888888888889
jared cook,2019,jared cook,100.0
juju smith-schuster,2019,juju smith-schuster,100.0
darius slayton,2019,adarius glanton,82.75862068965517
alshon jeffery,2019,alshon jeffery,100.0
john brown,2019,jamon brown,85.71428571428572
john brown,2019,jaron brown,85.71428571428572
john brown,2019,noah brown,80.0
john brown,2019,jayon brown,85.71428571428572
john brown,2019,john brown b --,80.0
john brown,2019,jordan brown,81.81818181818181
stefon diggs,2019,trevon diggs,83.33333333333334
stefon diggs,2019,stefon diggs,100.0
preston williams,2019,jason williams,80.0
preston williams,2019,trent williams,80.0
preston williams,2019,preston williams,100.0
preston williams,2019,jameson williams,81.25
preston williams,2019,kyren williams,80.0
dawson knox,2019,dawson knox,100.0
robby anderson,2019,rodney anderson,82.75862068965517
robby anderson,2019,troy andersen,81.4814814814815
darnell mooney,2020,darnell mooney,100.0
marquise brown,2020,marquise goodwin,80.0
