player_season_name,season,ir_name,fuzzy_score
desean jackson,2018,asa jackson,80
jordan reed,2018,jordan rigsbee,80
chris conley,2018,chris wormley,80
emmanuel sanders,2018,daniel sanders,80
ian thomas,2018,thomas hennigan,80
ian thomas,2018,brian thomas jr,80
marquise goodwin,2018,marquise brown,80
trey burton,2018,tre brown,80
chris herndon,2018,chris horton,80
mike evans,2018,mike evans lynn,80
john brown,2018,noah brown,80
john brown,2018,john brown b --,80
ryan grant,2018,logan ryan,80
cameron brate,2018,cameron bradfield,80
tyrell williams,2018,tourek williams,80
tyrell williams,2018,trevor williams,80
tyrell williams,2018,darrel williams,80
allen robinson,2018,laurent robinson,80
daesean hamilton,2018,davon hamilton,80
david moore,2018,dan moore,80
michael thomas,2018,michael ola,80
michael thomas,2018,michael ola,80
michael thomas,2018,michael ola,80
michael thomas,2018,michael ola,80
marquise brown,2019,marquise goodwin,80
nick boyle,2019,nick foles,80
james washington,2019,jameis winston,80
cameron brate,2019,cameron bradfield,80
mike evans,2019,mike evans lynn,80
daesean hamilton,2019,davon hamilton,80
greg olsen,2019,greg toler,80
greg olsen,2019,greg senat,80
michael thomas,2019,michael ola,80
michael thomas,2019,michael ola,80
michael thomas,2019,michael ola,80
michael thomas,2019,michael ola,80
emmanuel sanders,2019,daniel sanders,80
allen robinson,2019,laurent robinson,80
chris conley,2019,chris wormley,80
tyrell williams,2019,tourek williams,80
tyrell williams,2019,trevor williams,80
tyrell williams,2019,darrel williams,80
john brown,2019,noah brown,80
john brown,2019,john brown b --,80
preston williams,2019,jason williams,80
preston williams,2019,trent williams,80
preston williams,2019,kyren williams,80
marquise brown,2020,marquise goodwin,80
david moore,2020,dan moore,80
emmanuel sanders,2020,daniel sanders,80
trey burton,2020,tre brown,80
chris herndon,2020,chris horton,80
daesean hamilton,2020,davon hamilton,80
justin jefferson,2020,tony jefferson,80
logan thomas,2020,jaylon thomas,80
chris conley,2020,chris wormley,80
james washington,2020,jameis winston,80
allen robinson,2020,laurent robinson,80
brandon aiyuk,2020,brandon bair,80
jordan reed,2020,jordan rigsbee,80
mike evans,2020,mike evans lynn,80
michael thomas,2020,michael ola,80
michael thomas,2020,michael ola,80
michael thomas,2020,michael ola,80
michael thomas,2020,michael ola,80
john brown,2020,noah brown,80
john brown,2020,john brown b --,80
marquise brown,2021,marquise goodwin,80
allen robinson,2021,laurent robinson,80
cameron brate,2021,cameron bradfield,80
tyler johnson,2021,trey johnson,80
tyler johnson,2021,toby johnson,80
tyler johnson,2021,lane johnson,80
tyler johnson,2021,theo johnson,80
elijah moore,2021,elijah molden,80
emmanuel sanders,2021,daniel sanders,80
justin jefferson,2021,tony jefferson,80
brandon aiyuk,2021,brandon bair,80
nick westbrook-ikhine,2021,nick westbrook,80
bryan edwards,2021,dwan edwards,80
ja'marr chase,2021,jamar chaney,80
mike evans,2021,mike evans lynn,80
marquise brown,2022,marquise goodwin,80
brandon aiyuk,2022,brandon bair,80
elijah moore,2022,elijah molden,80
mike evans,2022,mike evans lynn,80
juwan johnson,2022,lane johnson,80
ja'marr chase,2022,jamar chaney,80
nick westbrook-ikhine,2022,nick westbrook,80
logan thomas,2022,jaylon thomas,80
justin jefferson,2022,tony jefferson,80
allen robinson,2022,laurent robinson,80
elijah moore,2023,elijah molden,80
nick westbrook-ikhine,2023,nick westbrook,80
allen robinson,2023,laurent robinson,80
justin jefferson,2023,tony jefferson,80
mike evans,2023,mike evans lynn,80
logan thomas,2023,jaylon thomas,80
michael wilson,2023,michael wilhoite,80
michael wilson,2023,sony michel,80
quentin johnston,2023,justin johnson,80
marquise brown,2023,marquise goodwin,80
justin watson,2023,justin tryon,80
ja'marr chase,2023,jamar chaney,80
brandon aiyuk,2023,brandon bair,80
michael thomas,2023,michael ola,80
michael thomas,2023,michael ola,80
michael thomas,2023,michael ola,80
michael thomas,2023,michael ola,80
juwan johnson,2023,lane johnson,80
jalen mcmillan,2024,jalen mills,80
mike evans,2024,mike evans lynn,80
jameson williams,2024,jamar williams,80
brian thomas jr.,2024,brian thomas b,80
nick westbrook-ikhine,2024,nick westbrook,80
elijah moore,2024,elijah molden,80
michael wilson,2024,michael wilhoite,80
michael wilson,2024,sony michel,80
adonai mitchell,2024,keaton mitchell,80
juwan johnson,2024,lane johnson,80
quentin johnston,2024,justin johnson,80
david moore,2024,dan moore,80
justin jefferson,2024,tony jefferson,80
ja'marr chase,2024,jamar chaney,80
brandon aiyuk,2024,brandon bair,80
keon coleman,2024,tevin coleman,80
demarcus robinson,2019,denard robinson,81.25
preston williams,2019,jameson williams,81.25
demarcus robinson,2020,denard robinson,81.25
demarcus robinson,2022,denard robinson,81.25
jameson williams,2024,preston williams,81.25
jameson williams,2024,javonte williams,81.25
demarcus robinson,2024,denard robinson,81.25
robby anderson,2018,troy andersen,81.48148148
brandin cooks,2018,brandon brooks,81.48148148
brandin cooks,2018,brandin echols,81.48148148
cameron brate,2018,cameron batson,81.48148148
kelvin benjamin,2018,eno benjamin,81.48148148
chad williams,2018,ishaq williams,81.48148148
chad williams,2018,andre williams,81.48148148
mike williams,2018,mario williams,81.48148148
mike williams,2018,eddie williams,81.48148148
mike williams,2018,kyren williams,81.48148148
david moore,2018,david moore b --,81.48148148
brandin cooks,2019,brandon brooks,81.48148148
brandin cooks,2019,brandin echols,81.48148148
cameron brate,2019,cameron batson,81.48148148
mike williams,2019,mario williams,81.48148148
mike williams,2019,eddie williams,81.48148148
mike williams,2019,kyren williams,81.48148148
robby anderson,2019,troy andersen,81.48148148
david moore,2020,david moore b --,81.48148148
brandin cooks,2020,brandon brooks,81.48148148
brandin cooks,2020,brandin echols,81.48148148
robby anderson,2020,troy andersen,81.48148148
mike williams,2020,mario williams,81.48148148
mike williams,2020,eddie williams,81.48148148
mike williams,2020,kyren williams,81.48148148
robby anderson,2021,troy andersen,81.48148148
cameron brate,2021,cameron batson,81.48148148
kalif raymond,2021,raymond calais,81.48148148
brandin cooks,2021,brandon brooks,81.48148148
brandin cooks,2021,brandin echols,81.48148148
van jefferson,2021,tony jefferson,81.48148148
tyler johnson,2021,tyrell johnson,81.48148148
mike williams,2021,mario williams,81.48148148
mike williams,2021,eddie williams,81.48148148
mike williams,2021,kyren williams,81.48148148
kalif raymond,2022,raymond calais,81.48148148
brandin cooks,2022,brandon brooks,81.48148148
brandin cooks,2022,brandin echols,81.48148148
chris moore,2022,chris moore b --,81.48148148
juwan johnson,2022,justin johnson,81.48148148
mike williams,2022,mario williams,81.48148148
mike williams,2022,eddie williams,81.48148148
mike williams,2022,kyren williams,81.48148148
brandin cooks,2023,brandon brooks,81.48148148
brandin cooks,2023,brandin echols,81.48148148
juwan johnson,2023,justin johnson,81.48148148
brandin cooks,2024,brandon brooks,81.48148148
brandin cooks,2024,brandin echols,81.48148148
juwan johnson,2024,justin johnson,81.48148148
david moore,2024,david moore b --,81.48148148
keon coleman,2024,coleman shelton,81.48148148
tyler lockett,2018,tyler ott,81.81818182
ian thomas,2018,logan thomas,81.81818182
john brown,2018,jordan brown,81.81818182
john ross,2018,john ross iii,81.81818182
david moore,2018,devin moore,81.81818182
tyler lockett,2019,tyler ott,81.81818182
jonnu smith,2019,jason smith,81.81818182
jonnu smith,2019,djoun smith,81.81818182
john ross,2019,john ross iii,81.81818182
john brown,2019,jordan brown,81.81818182
david moore,2020,devin moore,81.81818182
tyler lockett,2020,tyler ott,81.81818182
jonnu smith,2020,jason smith,81.81818182
jonnu smith,2020,djoun smith,81.81818182
john brown,2020,jordan brown,81.81818182
tyler lockett,2021,tyler ott,81.81818182
jonnu smith,2021,jason smith,81.81818182
jonnu smith,2021,djoun smith,81.81818182
josh palmer,2021,josh walker,81.81818182
tyler lockett,2022,tyler ott,81.81818182
josh palmer,2022,josh walker,81.81818182
chris moore,2022,chris okoye,81.81818182
josh palmer,2023,josh walker,81.81818182
tyler lockett,2023,tyler ott,81.81818182
jonnu smith,2023,jason smith,81.81818182
jonnu smith,2023,djoun smith,81.81818182
josh palmer,2024,josh walker,81.81818182
tyler lockett,2024,tyler ott,81.81818182
jonnu smith,2024,jason smith,81.81818182
jonnu smith,2024,djoun smith,81.81818182
david moore,2024,devin moore,81.81818182
james washington,2019,james washington edward,82.05128205
james washington,2020,james washington edward,82.05128205
christian kirk,2018,christian kirk davon,82.35294118
tyrell williams,2018,terrell williams jr,82.35294118
christian kirk,2019,christian kirk davon,82.35294118
tyrell williams,2019,terrell williams jr,82.35294118
christian kirk,2020,christian kirk davon,82.35294118
christian kirk,2021,christian kirk davon,82.35294118
christian kirk,2022,christian kirk davon,82.35294118
christian watson,2022,christian thompson,82.35294118
christian watson,2023,christian thompson,82.35294118
christian kirk,2023,christian kirk davon,82.35294118
christian kirk,2024,christian kirk davon,82.35294118
dj moore,2024,dan moore,82.35294118
christian watson,2024,christian thompson,82.35294118
robby anderson,2018,rodney anderson,82.75862069
tyrell williams,2018,trent williams,82.75862069
tyrell williams,2018,kyren williams,82.75862069
chad williams,2018,chase williams a,82.75862069
chad williams,2018,chase williams b,82.75862069
ryan griffin,2018,ryan griffin b --,82.75862069
ryan griffin,2018,ryan griffin b --,82.75862069
ryan griffin,2018,ryan griffin b --,82.75862069
ryan griffin,2018,ryan griffin b --,82.75862069
tyrell williams,2019,trent williams,82.75862069
tyrell williams,2019,kyren williams,82.75862069
darius slayton,2019,adarius glanton,82.75862069
robby anderson,2019,rodney anderson,82.75862069
robby anderson,2020,rodney anderson,82.75862069
scott miller,2020,zach miller scott,82.75862069
darius slayton,2020,adarius glanton,82.75862069
robby anderson,2021,rodney anderson,82.75862069
darius slayton,2021,adarius glanton,82.75862069
darius slayton,2022,adarius glanton,82.75862069
darius slayton,2023,adarius glanton,82.75862069
jonathan mingo,2023,jonathan kongbo,82.75862069
quentin johnston,2023,quinn johnson,82.75862069
quentin johnston,2024,quinn johnson,82.75862069
darius slayton,2024,adarius glanton,82.75862069
jordan reed,2018,reggie jordan,83.33333333
ian thomas,2018,brian thomas b,83.33333333
stefon diggs,2018,trevon diggs,83.33333333
jordy nelson,2018,corey nelson,83.33333333
john brown,2018,jonathan brown,83.33333333
mark andrews,2018,jake andrews,83.33333333
mike williams,2018,mike willie,83.33333333
mark andrews,2019,jake andrews,83.33333333
jordan akins,2019,jordan evans,83.33333333
jordan akins,2019,jordan davis,83.33333333
mike williams,2019,mike willie,83.33333333
john brown,2019,jonathan brown,83.33333333
stefon diggs,2019,trevon diggs,83.33333333
mark andrews,2020,jake andrews,83.33333333
jordan reed,2020,reggie jordan,83.33333333
mike williams,2020,mike willie,83.33333333
stefon diggs,2020,trevon diggs,83.33333333
jordan akins,2020,jordan evans,83.33333333
jordan akins,2020,jordan davis,83.33333333
john brown,2020,jonathan brown,83.33333333
mark andrews,2021,jake andrews,83.33333333
mike williams,2021,mike willie,83.33333333
bryan edwards,2021,ben edwards,83.33333333
stefon diggs,2021,trevon diggs,83.33333333
mark andrews,2022,jake andrews,83.33333333
jordan akins,2022,jordan evans,83.33333333
jordan akins,2022,jordan davis,83.33333333
mike williams,2022,mike willie,83.33333333
stefon diggs,2022,trevon diggs,83.33333333
stefon diggs,2023,trevon diggs,83.33333333
mark andrews,2023,jake andrews,83.33333333
stefon diggs,2024,trevon diggs,83.33333333
