player_season_name,season_ps,ir_name,season_ir,fuzzy_score
desean jackson,2018,asa jackson,2014,80
desean jackson,2018,asa jackson,2014,80
desean jackson,2018,asa jackson,2015,80
desean jackson,2018,don jackson,2016,80
desean jackson,2018,asa jackson,2016,80
desean jackson,2018,asa jackson,2017,80
jordan reed,2018,jordan rigsbee,2016,80
chris conley,2018,chris wormley,2020,80
chris conley,2018,chris wormley,2022,80
emmanuel sanders,2018,daniel sanders,2010,80
emmanuel sanders,2018,daniel sanders,2010,80
ian thomas,2018,thomas hennigan,2022,80
jarius wright,2018,james wright,2015,80
jarius wright,2018,james wright,2017,80
jarius wright,2018,james wright,2018,80
marquise goodwin,2018,marquise brown,2022,80
marquise goodwin,2018,marquise brown,2023,80
marquise goodwin,2018,marquise brown,2024,80
trey burton,2018,tre brown,2021,80
trey burton,2018,tre brown,2021,80
chris herndon,2018,chris horton,2010,80
john brown,2018,noah brown,2018,80
john brown,2018,tony brown,2020,80
john brown,2018,noah brown,2021,80
john brown,2018,noah brown,2023,80
john brown,2018,noah brown,2023,80
john brown,2018,tony brown,2024,80
john brown,2018,noah brown,2024,80
ryan grant,2018,logan ryan,2018,80
ryan grant,2018,logan ryan,2022,80
cameron brate,2018,cameron bradfield,2016,80
tyler boyd,2018,tyler bray,2014,80
tyrell williams,2018,tourek williams,2015,80
tyrell williams,2018,trevor williams,2018,80
tyrell williams,2018,trevor williams,2019,80
tyrell williams,2018,darrel williams,2019,80
tyrell williams,2018,trevor williams,2020,80
tyrell williams,2018,darrel williams,2022,80
allen robinson,2018,laurent robinson,2012,80
chad williams,2018,dan williams,2011,80
chad williams,2018,ian williams,2013,80
chad williams,2018,ian williams,2014,80
chad williams,2018,sam williams,2024,80
daesean hamilton,2018,davon hamilton,2020,80
daesean hamilton,2018,davon hamilton,2023,80
michael crabtree,2018,michael carter,2021,80
mike williams,2018,ian williams,2013,80
mike williams,2018,ian williams,2014,80
mike williams,2018,joe williams,2017,80
mike williams,2018,sam williams,2024,80
david moore,2018,dan moore,2013,80
michael thomas,2018,michael ola,2017,80
michael thomas,2018,mike thomas,2018,80
michael thomas,2018,michael ola,2018,80
michael thomas,2018,michael ola,2017,80
michael thomas,2018,mike thomas,2018,80
michael thomas,2018,michael ola,2018,80
michael thomas,2018,michael ola,2017,80
michael thomas,2018,mike thomas,2018,80
michael thomas,2018,michael ola,2018,80
michael thomas,2018,michael ola,2017,80
michael thomas,2018,mike thomas,2018,80
michael thomas,2018,michael ola,2018,80
oj howard,2018,jaye howard,2016,80
marvin jones,2018,vi jones,2023,80
bisi johnson,2019,chris johnson,2010,80
bisi johnson,2019,chris johnson,2015,80
bisi johnson,2019,chris johnson,2016,80
marvin jones,2019,vi jones,2023,80
jarius wright,2019,james wright,2015,80
jarius wright,2019,james wright,2017,80
jarius wright,2019,james wright,2018,80
marquise brown,2019,marquise goodwin,2015,80
marquise brown,2019,marquise goodwin,2019,80
marquise brown,2019,marquise goodwin,2022,80
nick boyle,2019,nick foles,2012,80
nick boyle,2019,nick foles,2019,80
james washington,2019,jameis winston,2021,80
russell gage,2019,russell allen,2013,80
tyler boyd,2019,tyler bray,2014,80
cameron brate,2019,cameron bradfield,2016,80
daesean hamilton,2019,davon hamilton,2020,80
daesean hamilton,2019,davon hamilton,2023,80
mike williams,2019,ian williams,2013,80
mike williams,2019,ian williams,2014,80
mike williams,2019,joe williams,2017,80
mike williams,2019,sam williams,2024,80
greg olsen,2019,greg toler,2011,80
greg olsen,2019,greg toler,2013,80
greg olsen,2019,greg senat,2018,80
greg olsen,2019,greg senat,2019,80
greg olsen,2019,greg senat,2021,80
michael thomas,2019,michael ola,2017,80
michael thomas,2019,mike thomas,2018,80
michael thomas,2019,michael ola,2018,80
michael thomas,2019,michael ola,2017,80
michael thomas,2019,mike thomas,2018,80
michael thomas,2019,michael ola,2018,80
michael thomas,2019,michael ola,2017,80
michael thomas,2019,mike thomas,2018,80
michael thomas,2019,michael ola,2018,80
michael thomas,2019,michael ola,2017,80
michael thomas,2019,mike thomas,2018,80
michael thomas,2019,michael ola,2018,80
emmanuel sanders,2019,daniel sanders,2010,80
emmanuel sanders,2019,daniel sanders,2010,80
allen robinson,2019,laurent robinson,2012,80
oj howard,2019,jaye howard,2016,80
chris conley,2019,chris wormley,2020,80
chris conley,2019,chris wormley,2022,80
tyrell williams,2019,tourek williams,2015,80
tyrell williams,2019,trevor williams,2018,80
tyrell williams,2019,trevor williams,2019,80
tyrell williams,2019,darrel williams,2019,80
tyrell williams,2019,trevor williams,2020,80
tyrell williams,2019,darrel williams,2022,80
john brown,2019,noah brown,2018,80
john brown,2019,tony brown,2020,80
john brown,2019,noah brown,2021,80
john brown,2019,noah brown,2023,80
john brown,2019,noah brown,2023,80
john brown,2019,tony brown,2024,80
john brown,2019,noah brown,2024,80
preston williams,2019,jason williams,2010,80
