player_full_name,player_two_words,season_ps,ir_name,season_ir,fuzzy_score
josh palmer,josh palmer,2021,joshua palmer,2023,91.66666667
josh palmer,josh palmer,2022,joshua palmer,2023,91.66666667
josh palmer,josh palmer,2023,joshua palmer,2023,91.66666667
josh palmer,josh palmer,2024,joshua palmer,2023,91.66666667
n'keal harry,n'keal harry,2020,nkeal harry,2019,95.65217391
n'keal harry,n'keal harry,2020,nkeal harry,2021,95.65217391
n'keal harry,n'keal harry,2020,nkeal harry,2022,95.65217391
scott miller,scott miller,2020,scotty miller,2019,96.0
scott miller,scott miller,2020,scotty miller,2021,96.0
tre'quan smith,tre'quan smith,2018,trequan smith,2020,96.2962963
tre'quan smith,tre'quan smith,2018,trequan smith,2021,96.2962963
tre'quan smith,tre'quan smith,2018,trequan smith,2023,96.2962963
tre'quan smith,tre'quan smith,2018,trequan smith,2024,96.2962963
tre'quan smith,tre'quan smith,2020,trequan smith,2020,96.2962963
tre'quan smith,tre'quan smith,2020,trequan smith,2021,96.2962963
tre'quan smith,tre'quan smith,2020,trequan smith,2023,96.2962963
tre'quan smith,tre'quan smith,2020,trequan smith,2024,96.2962963
tre'quan smith,tre'quan smith,2021,trequan smith,2020,96.2962963
tre'quan smith,tre'quan smith,2021,trequan smith,2021,96.2962963
tre'quan smith,tre'quan smith,2021,trequan smith,2023,96.2962963
tre'quan smith,tre'quan smith,2021,trequan smith,2024,96.2962963
wan'dale robinson,wan'dale robinson,2023,wandale robinson,2022,96.96969697
wan'dale robinson,wan'dale robinson,2024,wandale robinson,2022,96.96969697
josh reynolds,josh reynolds,2018,josh reynolds,2024,100.0
desean jackson,desean jackson,2018,desean jackson,2012,100.0
desean jackson,desean jackson,2018,desean jackson,2019,100.0
desean jackson,desean jackson,2018,desean jackson,2020,100.0
taywan taylor,taywan taylor,2018,taywan taylor,2020,100.0
taywan taylor,taywan taylor,2018,taywan taylor,2021,100.0
curtis samuel,curtis samuel,2018,curtis samuel,2017,100.0
curtis samuel,curtis samuel,2018,curtis samuel,2021,100.0
cooper kupp,cooper kupp,2018,cooper kupp,2018,100.0
cooper kupp,cooper kupp,2018,cooper kupp,2022,100.0
cooper kupp,cooper kupp,2018,cooper kupp,2023,100.0
jordan reed,jordan reed,2018,jordan reed,2013,100.0
jordan reed,jordan reed,2018,jordan reed,2017,100.0
jordan reed,jordan reed,2018,jordan reed,2018,100.0
jordan reed,jordan reed,2018,jordan reed,2019,100.0
jordan reed,jordan reed,2018,jordan reed,2020,100.0
tyler lockett,tyler lockett,2018,tyler lockett,2016,100.0
maurice harris,maurice harris,2018,maurice harris,2018,100.0
maurice harris,maurice harris,2018,maurice harris,2019,100.0
quincy enunwa,quincy enunwa,2018,quincy enunwa,2017,100.0
quincy enunwa,quincy enunwa,2018,quincy enunwa,2018,100.0
quincy enunwa,quincy enunwa,2018,quincy enunwa,2019,100.0
adam humphries,adam humphries,2018,adam humphries,2020,100.0
chris conley,chris conley,2018,chris conley,2017,100.0
kendrick bourne,kendrick bourne,2018,kendrick bourne,2023,100.0
jamison crowder,jamison crowder,2018,jamison crowder,2022,100.0
jamison crowder,jamison crowder,2018,jamison crowder,2024,100.0
robert woods,robert woods,2018,robert woods,2015,100.0
robert woods,robert woods,2018,robert woods,2021,100.0
jermaine kearse,jermaine kearse,2018,jermaine kearse,2019,100.0
calvin ridley,calvin ridley,2018,calvin ridley,2019,100.0
robert foster,robert foster,2018,robert foster,2021,100.0
robert foster,robert foster,2018,robert foster,2022,100.0
marquez valdes-scantling,marquez valdes-scantling,2018,marquez valdes-scantling,2021,100.0
danny amendola,danny amendola,2018,danny amendola,2011,100.0
danny amendola,danny amendola,2018,danny amendola,2021,100.0
jimmy graham,jimmy graham,2018,jimmy graham,2015,100.0
chris godwin,chris godwin,2018,chris godwin,2020,100.0
chris godwin,chris godwin,2018,chris godwin,2021,100.0
chris godwin,chris godwin,2018,chris godwin,2024,100.0
chris hogan,chris hogan,2018,chris hogan,2019,100.0
chris hogan,chris hogan,2018,chris hogan,2020,100.0
julian edelman,julian edelman,2018,julian edelman,2012,100.0
julian edelman,julian edelman,2018,julian edelman,2017,100.0
julian edelman,julian edelman,2018,julian edelman,2020,100.0
christian kirk,christian kirk,2018,christian kirk,2018,100.0
christian kirk,christian kirk,2018,christian kirk,2023,100.0
christian kirk,christian kirk,2018,christian kirk,2024,100.0
odell beckham jr,odell beckham,2018,odell beckham,2017,100.0
odell beckham jr,odell beckham,2018,odell beckham,2020,100.0
tajae sharpe,tajae sharpe,2018,tajae sharpe,2017,100.0
tajae sharpe,tajae sharpe,2018,tajae sharpe,2022,100.0
emmanuel sanders,emmanuel sanders,2018,emmanuel sanders,2018,100.0
dede westbrook,dede westbrook,2018,dede westbrook,2017,100.0
dede westbrook,dede westbrook,2018,dede westbrook,2020,100.0
rob gronkowski,rob gronkowski,2018,rob gronkowski,2012,100.0
rob gronkowski,rob gronkowski,2018,rob gronkowski,2013,100.0
rob gronkowski,rob gronkowski,2018,rob gronkowski,2016,100.0
evan engram,evan engram,2018,evan engram,2019,100.0
evan engram,evan engram,2018,evan engram,2024,100.0
zach ertz,zach ertz,2018,zach ertz,2020,100.0
zach ertz,zach ertz,2018,zach ertz,2022,100.0
zach ertz,zach ertz,2018,zach ertz,2023,100.0
corey davis,corey davis,2018,corey davis,2021,100.0
ian thomas,ian thomas,2018,ian thomas,2023,100.0
ian thomas,ian thomas,2018,ian thomas,2024,100.0
demaryius thomas,demaryius thomas,2018,demaryius thomas,2018,100.0
stefon diggs,stefon diggs,2018,stefon diggs,2024,100.0
ty hilton,ty hilton,2018,ty hilton,2021,100.0
sterling shepard,sterling shepard,2018,sterling shepard,2020,100.0
sterling shepard,sterling shepard,2018,sterling shepard,2021,100.0
sterling shepard,sterling shepard,2018,sterling shepard,2022,100.0
jordy nelson,jordy nelson,2018,jordy nelson,2015,100.0
marquise goodwin,marquise goodwin,2018,marquise goodwin,2015,100.0
marquise goodwin,marquise goodwin,2018,marquise goodwin,2019,100.0
marquise goodwin,marquise goodwin,2018,marquise goodwin,2022,100.0
ryan switzer,ryan switzer,2018,ryan switzer,2019,100.0
ryan switzer,ryan switzer,2018,ryan switzer,2021,100.0
adam thielen,adam thielen,2018,adam thielen,2021,100.0
adam thielen,adam thielen,2018,adam thielen,2024,100.0
kyle rudolph,kyle rudolph,2018,kyle rudolph,2013,100.0
kyle rudolph,kyle rudolph,2018,kyle rudolph,2020,100.0
trey burton,trey burton,2018,trey burton,2019,100.0
trey burton,trey burton,2018,trey burton,2020,100.0
eric ebron,eric ebron,2018,eric ebron,2019,100.0
eric ebron,eric ebron,2018,eric ebron,2021,100.0
chris herndon,chris herndon,2018,chris herndon,2019,100.0
nick vannett,nick vannett,2018,nick vannett,2021,100.0
mohamed sanu,mohamed sanu,2018,mohamed sanu,2012,100.0
mohamed sanu,mohamed sanu,2018,mohamed sanu,2021,100.0
julio jones,julio jones,2018,julio jones,2013,100.0
julio jones,julio jones,2018,julio jones,2021,100.0
mike evans,mike evans,2018,mike evans,2019,100.0
john brown,john brown,2018,john brown,2020,100.0
chester rogers,chester rogers,2018,chester rogers,2019,100.0
chester rogers,chester rogers,2018,chester rogers,2022,100.0
brandin cooks,brandin cooks,2018,brandin cooks,2014,100.0
brandin cooks,brandin cooks,2018,brandin cooks,2024,100.0
jeff heuerman,jeff heuerman,2018,jeff heuerman,2015,100.0
jeff heuerman,jeff heuerman,2018,jeff heuerman,2018,100.0
ryan grant,ryan grant,2018,ryan grant,2010,100.0
jarvis landry,jarvis landry,2018,jarvis landry,2021,100.0
jarvis landry,jarvis landry,2018,jarvis landry,2022,100.0
