player,matched_ir_name,fuzzy_score,above_threshold
josh reynolds,josh reynolds,100.0,True
desean jackson,desean jackson,100.0,True
taywan taylor,taywan taylor,100.0,True
taylor gabriel,taylor price,76.92307692307692,False
curtis samuel,curtis samuel,100.0,True
cooper kupp,cooper kupp,100.0,True
keelan cole,dylan cole,76.19047619047619,False
jordan reed,jordan reed,100.0,True
tyler lockett,tyler lockett,100.0,True
maurice harris,maurice harris,100.0,True
quincy enunwa,quincy enunwa,100.0,True
adam humphries,adam humphries,100.0,True
chris conley,chris conley,100.0,True
rashard higgins,rashad jennings,66.66666666666667,False
kendrick bourne,kendrick bourne,100.0,True
robby anderson,rodney anderson,82.75862068965517,True
jamison crowder,jamison crowder,100.0,True
robert woods,robert woods thomas,77.41935483870968,False
jermaine kearse,jermaine kearse,100.0,True
larry fitzgerald,larry foote,66.66666666666667,False
laquon treadwell,travell dixon,62.06896551724138,False
calvin ridley,calvin ridley,100.0,True
robert foster,robert foster,100.0,True
golden tate,auden tate,76.19047619047619,False
marquez valdes-scantling,marquez valdes-scantling,100.0,True
danny amendola,danny amendola,100.0,True
jimmy graham,jimmy graham,100.0,True
chris godwin,chris godwin,100.0,True
chris hogan,chris hogan,100.0,True
nelson agholor,jr nelson,69.56521739130434,False
julian edelman,julian edelman,100.0,True
christian kirk,christian kirksey,90.32258064516128,True
odell beckham,odell beckham jr,89.65517241379311,True
zay jones,nazair jones,76.19047619047619,False
kenny stills,kenny willekes,76.92307692307692,False
tajae sharpe,tajae sharpe,100.0,True
emmanuel sanders,emmanuel sanders,100.0,True
dede westbrook,dede westbrook,100.0,True
seth roberts,shaun rogers,66.66666666666667,False
d.j. moore,jd moore,77.77777777777779,False
rob gronkowski,rob gronkowski,100.0,True
evan engram,evan engram,100.0,True
zach ertz,zach ertz,100.0,True
corey davis,cody davis,85.71428571428572,True
gerald everett,genard avery,61.53846153846154,False
amari cooper,amani hooker,75.0,False
ian thomas,ian thomas c,90.9090909090909,True
jarius wright,eric wright,75.0,False
demaryius thomas,demaryius thomas,100.0,True
stefon diggs,stefon diggs,100.0,True
donte moncrief,damontre moore,71.42857142857143,False
t.y. hilton,ty hilton,90.0,True
cole beasley,caleb brantley,69.23076923076923,False
sterling shepard,sterling shepard,100.0,True
tyreek hill,tyre phillips,75.0,False
jordy nelson,jordy nelson,100.0,True
marquise goodwin,marquise goodwin,100.0,True
ryan switzer,ryan switzer,100.0,True
adam thielen,adam thielen,100.0,True
kyle rudolph,kyle rudolph,100.0,True
trey burton,trey burton,100.0,True
eric ebron,eric ebron,100.0,True
chris herndon,chris herndon,100.0,True
nick vannett,nick vannett,100.0,True
zach pascal,zack pianalto,66.66666666666667,False
mohamed sanu,mohamed sanu,100.0,True
julio jones,julio jones,100.0,True
mike evans,mike evans lynn,80.0,True
john brown,jamon brown,85.71428571428572,True
chester rogers,chester rogers,100.0,True
brandin cooks,brandin cooks,100.0,True
jeff heuerman,jeff heuerman,100.0,True
ryan grant,logan ryan,80.0,True
jarvis landry,jarvis landry,100.0,True
cameron brate,cameron brate,100.0,True
tyler boyd,tyler boyd,100.0,True
travis kelce,travis kelce,100.0,True
josh doctson,josh doctson,100.0,True
jared cook,jared cook,100.0,True
tre'quan smith,trequan smith,96.2962962962963,True
austin hooper,austin howard,76.92307692307692,False
pierre garcon,pierre garcon,100.0,True
tyrell williams,tyrell williams,100.0,True
david njoku,david njoku,100.0,True
allen robinson,allen robinson ii,90.32258064516128,True
vance mcdonald,vance mcdonald,100.0,True
sammy watkins,sammy watkins,100.0,True
kelvin benjamin,kelvin benjamin,100.0,True
alshon jeffery,alshon jeffery,100.0,True
will fuller,will fuller v,91.66666666666666,True
