player_full_name,player_two_words,season_ps,ir_name,season_ir,fuzzy_score
josh palmer,josh palmer,2022,joshua palmer,2023,91.66666667
n'keal harry,n'keal harry,2020,nkeal harry,2021,95.65217391
scott miller,scott miller,2020,scotty miller,2021,96
tre'quan smith,tre'quan smith,2020,trequan smith,2021,96.2962963
desean jackson,desean jackson,2018,desean jackson,2019,100
jordan reed,jordan reed,2018,jordan reed,2019,100
maurice harris,maurice harris,2018,maurice harris,2019,100
quincy enunwa,quincy enunwa,2018,quincy enunwa,2019,100
jermaine kearse,jermaine kearse,2018,jermaine kearse,2019,100
calvin ridley,calvin ridley,2018,calvin ridley,2019,100
chris hogan,chris hogan,2018,chris hogan,2019,100
evan engram,evan engram,2018,evan engram,2019,100
marquise goodwin,marquise goodwin,2018,marquise goodwin,2019,100
ryan switzer,ryan switzer,2018,ryan switzer,2019,100
trey burton,trey burton,2018,trey burton,2019,100
eric ebron,eric ebron,2018,eric ebron,2019,100
chris herndon,chris herndon,2018,chris herndon,2019,100
mike evans,mike evans,2018,mike evans,2019,100
chester rogers,chester rogers,2018,chester rogers,2019,100
josh doctson,josh doctson,2018,josh doctson,2019,100
david njoku,david njoku,2018,david njoku,2019,100
alshon jeffery,alshon jeffery,2018,alshon jeffery,2019,100
john ross,john ross,2018,john ross,2019,100
ryan griffin,ryan griffin,2018,ryan griffin,2019,100
ryan griffin,ryan griffin,2018,ryan griffin,2019,100
ryan griffin,ryan griffin,2018,ryan griffin,2019,100
ryan griffin,ryan griffin,2018,ryan griffin,2019,100
devin funchess,devin funchess,2018,devin funchess,2019,100
josh gordon,josh gordon,2018,josh gordon,2019,100
aj green,aj green,2018,aj green,2019,100
marvin jones,marvin jones,2018,marvin jones,2019,100
steven sims,steven sims,2019,steven sims,2020,100
chris godwin,chris godwin,2019,chris godwin,2020,100
allen lazard,allen lazard,2019,allen lazard,2020,100
randall cobb,randall cobb,2019,randall cobb,2020,100
nick boyle,nick boyle,2019,nick boyle,2020,100
dede westbrook,dede westbrook,2019,dede westbrook,2020,100
zach ertz,zach ertz,2019,zach ertz,2020,100
auden tate,auden tate,2019,auden tate,2020,100
john ross,john ross,2019,john ross,2020,100
deebo samuel sr,deebo samuel,2019,deebo samuel,2020,100
sterling shepard,sterling shepard,2019,sterling shepard,2020,100
julian edelman,julian edelman,2019,julian edelman,2020,100
kyle rudolph,kyle rudolph,2019,kyle rudolph,2020,100
dallas goedert,dallas goedert,2019,dallas goedert,2020,100
odell beckham,odell beckham,2019,odell beckham,2020,100
adam humphries,adam humphries,2019,adam humphries,2020,100
phillip dorsett,phillip dorsett,2019,phillip dorsett,2020,100
greg olsen,greg olsen,2019,greg olsen,2020,100
michael thomas,michael thomas,2019,michael thomas,2020,100
michael thomas,michael thomas,2019,michael thomas,2020,100
michael thomas,michael thomas,2019,michael thomas,2020,100
michael thomas,michael thomas,2019,michael thomas,2020,100
michael thomas,michael thomas,2019,michael thomas,2020,100
michael thomas,michael thomas,2019,michael thomas,2020,100
michael thomas,michael thomas,2019,michael thomas,2020,100
michael thomas,michael thomas,2019,michael thomas,2020,100
george kittle,george kittle,2019,george kittle,2020,100
courtland sutton,courtland sutton,2019,courtland sutton,2020,100
oj howard,oj howard,2019,oj howard,2020,100
tyrell williams,tyrell williams,2019,tyrell williams,2020,100
john brown,john brown,2019,john brown,2020,100
preston williams,preston williams,2019,preston williams,2020,100
braxton berrios,braxton berrios,2020,braxton berrios,2021,100
robert woods,robert woods,2020,robert woods,2021,100
curtis samuel,curtis samuel,2020,curtis samuel,2021,100
corey davis,corey davis,2020,corey davis,2021,100
danny amendola,danny amendola,2020,danny amendola,2021,100
jakeem grant,jakeem grant,2020,jakeem grant,2021,100
hayden hurst,hayden hurst,2020,hayden hurst,2021,100
eric ebron,eric ebron,2020,eric ebron,2021,100
sterling shepard,sterling shepard,2020,sterling shepard,2021,100
randall cobb,randall cobb,2020,randall cobb,2021,100
chris godwin,chris godwin,2020,chris godwin,2021,100
deandre hopkins,deandre hopkins,2020,deandre hopkins,2021,100
jarvis landry,jarvis landry,2020,jarvis landry,2021,100
dan arnold,dan arnold,2020,dan arnold,2021,100
julio jones,julio jones,2020,julio jones,2021,100
adam thielen,adam thielen,2020,adam thielen,2021,100
robert tonyan,robert tonyan,2020,robert tonyan,2021,100
kj hamler,kj hamler,2020,kj hamler,2021,100
juju smith-schuster,juju smith-schuster,2020,juju smith-schuster,2021,100
logan thomas,logan thomas,2020,logan thomas,2021,100
logan thomas,logan thomas,2020,logan thomas,2021,100
tj hockenson,tj hockenson,2020,tj hockenson,2021,100
george kittle,george kittle,2020,george kittle,2021,100
tyler higbee,tyler higbee,2020,tyler higbee,2021,100
dj chark,dj chark,2020,dj chark,2021,100
michael gallup,michael gallup,2020,michael gallup,2021,100
michael gallup,michael gallup,2020,michael gallup,2021,100
marquez valdes-scantling,marquez valdes-scantling,2020,marquez valdes-scantling,2021,100
aj brown,aj brown,2020,aj brown,2021,100
ty hilton,ty hilton,2020,ty hilton,2021,100
jerry jeudy,jerry jeudy,2020,jerry jeudy,2021,100
