Season,Team,Acquired,Relinquished,Notes,,,,Date
2009,Bills,,• Nic Harris,placed on ir with knee injury,,,,1/1/2010
2009,Panthers,,• Steve Smith / Steve Smith Sr. (Latrall),placed on ir with forearm injury,,,,1/1/2010
2009,49ers,,• Ricky Schmitt,placed on ir with left groin injury,,,,1/2/2010
2009,Bills,,• Todd Johnson,placed on ir with hamstring injury,,,,1/2/2010
2009,Browns,,• David Veikune,placed on ir with knee injury,,,,1/2/2010
2009,Colts,,• Tom Santi,placed on ir with back injury,,,,1/2/2010
2009,Jaguars,,• Atiyyah Ellison,placed on ir with knee injury,,,,1/2/2010
2009,Bengals,,• Pat Sims,placed on ir with forearm injury,,,,1/4/2010
2009,Cardinals,,• Jason Banks,placed on ir with ankle injury,,,,1/5/2010
2009,Saints,,• Charles Grant (Gabriel),placed on ir with triceps injury,,,,1/5/2010
2009,Chargers,,• James Holt (b),placed on ir with shoulder injury,,,,1/6/2010
2009,Patriots,,• Wes Welker,placed on ir with knee injury,,,,1/6/2010
2009,Saints,,• Rodney Leisle,placed on ir with knee injury,,,,1/15/2010
2010,Jaguars,,• Torrance Daniels / Tank Daniels,placed on ir,,,,4/28/2010
2010,Jaguars,,• Bryan Smith,placed on ir with torn acl in right knee,,,,5/6/2010
2010,Chiefs,,• Chandler Williams III,placed on ir,,,,5/7/2010
2010,Steelers,,• Limas Sweed,placed on ir with achilles tendon injury,,,,5/11/2010
2010,Buccaneers,,• Byron Storer,placed on ir,,,,5/19/2010
2010,Bears,,• Brett Basanez,placed on ir with wrist injury,,,,5/20/2010
2010,Titans,,• Dominique Lindsay,placed on ir with achilles tendon injury,,,,5/26/2010
2010,Bears,,• Lawrence Wilson (b),placed on ir,,,,6/2/2010
2010,Eagles,,• Marlin Jackson,placed on ir with achilles tendon injury,,,,6/10/2010
2010,Texans,,• Trey Stross,placed on ir,,,,6/14/2010
2010,Broncos,,• Braxton Kelley,placed on ir,,,,6/15/2010
2010,Vikings,,• Aaron Rhea,placed on ir,,,,6/15/2010
2010,Saints,,• Roy Hall (b. 1983-12-08),placed on ir,,,,6/16/2010
2010,Titans,,• Roderick Hood / Rod Hood,placed on ir with torn acl in knee,,,,6/16/2010
2010,Saints,,• Greg Fassitt,placed on ir,,,,6/17/2010
2010,Broncos,,• Kyle Eckel,placed on ir,,,,6/18/2010
2010,Redskins,,• Marques Hagans,placed on ir,,,,6/22/2010
2010,Rams,,• K.C. Asiodu,placed on ir,,,,6/29/2010
2010,Lions,,• Copeland Bryan,placed on ir with knee injury,,,,7/7/2010
2010,Steelers,,• Willie Colon,placed on ir with right achilles tendon injury,,,,7/21/2010
2010,Bills,,• Joe Klopfenstein,placed on ir with undisclosed injury,,,,7/22/2010
2010,Ravens,,• Domonique Foxworth,placed on ir with torn acl in right knee,,,,8/1/2010
2010,Texans,,• Glenn Martinez,placed on ir with hamstring injury,,,,8/2/2010
2010,Colts,,• Tom Santi,placed on ir,,,,8/3/2010
2010,Panthers,,• Marcus Walker (b. 1986-05-23),placed on ir,,,,8/3/2010
2010,Seahawks,,• Jameson Konz,placed on ir with hip injury,,,,8/3/2010
2010,Cardinals,,• Dean Muhtadi,placed on ir,,,,8/4/2010
2010,Dolphins,,• A.J. Edds,placed on ir with torn acl in right knee,,,,8/4/2010
2010,Texans,,• Justin Griffith,placed on ir with spinal cord concussion,,,,8/4/2010
2010,Dolphins,,• Kory Sheets,placed on ir,,,,8/5/2010
2010,Broncos,,• Josh Barrett,placed on ir with shoulder injury,,,,8/5/2010
2010,Broncos,,• Kenny McKinley,placed on ir with knee injury,,,,8/6/2010
2010,Chargers,,• Bryan Walters,placed on ir,,,,8/6/2010
2010,Jaguars,,• Jason Harmon (b),placed on ir,,,,8/6/2010
2010,Rams,,• Chris Hovan,placed on ir with back injury,,,,8/6/2010
2010,Ravens,,• Walt Harris (Lee),placed on ir with achilles tendon injury,,,,8/6/2010
