Season,Team,Acquired,Relinquished,Notes,Unnamed: 5,Unnamed: 6,Unnamed: 7,Date,Player
2009,Bills,,nic harris,placed on ir with knee injury,,,,1/1/2010,
2009,Panthers,,steve smith  steve smith sr latrall,placed on ir with forearm injury,,,,1/1/2010,
2009,49ers,,ricky schmitt,placed on ir with left groin injury,,,,1/2/2010,
2009,Bills,,todd johnson,placed on ir with hamstring injury,,,,1/2/2010,
2009,Browns,,david veikune,placed on ir with knee injury,,,,1/2/2010,
2009,Colts,,tom santi,placed on ir with back injury,,,,1/2/2010,
2009,Jaguars,,atiyyah ellison,placed on ir with knee injury,,,,1/2/2010,
2009,Bengals,,pat sims,placed on ir with forearm injury,,,,1/4/2010,
2009,Cardinals,,jason banks,placed on ir with ankle injury,,,,1/5/2010,
2009,Saints,,charles grant gabriel,placed on ir with triceps injury,,,,1/5/2010,
2009,Chargers,,james holt b,placed on ir with shoulder injury,,,,1/6/2010,
2009,Patriots,,wes welker,placed on ir with knee injury,,,,1/6/2010,
2009,Saints,,rodney leisle,placed on ir with knee injury,,,,1/15/2010,
2010,Jaguars,,torrance daniels  tank daniels,placed on ir,,,,4/28/2010,
2010,Jaguars,,bryan smith,placed on ir with torn acl in right knee,,,,5/6/2010,
2010,Chiefs,,chandler williams iii,placed on ir,,,,5/7/2010,
2010,Steelers,,limas sweed,placed on ir with achilles tendon injury,,,,5/11/2010,
2010,Buccaneers,,byron storer,placed on ir,,,,5/19/2010,
2010,Bears,,brett basanez,placed on ir with wrist injury,,,,5/20/2010,
2010,Titans,,dominique lindsay,placed on ir with achilles tendon injury,,,,5/26/2010,
2010,Bears,,lawrence wilson b,placed on ir,,,,6/2/2010,
2010,Eagles,,marlin jackson,placed on ir with achilles tendon injury,,,,6/10/2010,
2010,Texans,,trey stross,placed on ir,,,,6/14/2010,
2010,Broncos,,braxton kelley,placed on ir,,,,6/15/2010,
2010,Vikings,,aaron rhea,placed on ir,,,,6/15/2010,
2010,Saints,,roy hall b 1983-12-08,placed on ir,,,,6/16/2010,
2010,Titans,,roderick hood  rod hood,placed on ir with torn acl in knee,,,,6/16/2010,
2010,Saints,,greg fassitt,placed on ir,,,,6/17/2010,
2010,Broncos,,kyle eckel,placed on ir,,,,6/18/2010,
2010,Redskins,,marques hagans,placed on ir,,,,6/22/2010,
2010,Rams,,kc asiodu,placed on ir,,,,6/29/2010,
2010,Lions,,copeland bryan,placed on ir with knee injury,,,,7/7/2010,
2010,Steelers,,willie colon,placed on ir with right achilles tendon injury,,,,7/21/2010,
2010,Bills,,joe klopfenstein,placed on ir with undisclosed injury,,,,7/22/2010,
2010,Ravens,,domonique foxworth,placed on ir with torn acl in right knee,,,,8/1/2010,
2010,Texans,,glenn martinez,placed on ir with hamstring injury,,,,8/2/2010,
2010,Colts,,tom santi,placed on ir,,,,8/3/2010,
2010,Panthers,,marcus walker b 1986-05-23,placed on ir,,,,8/3/2010,
2010,Seahawks,,jameson konz,placed on ir with hip injury,,,,8/3/2010,
2010,Cardinals,,dean muhtadi,placed on ir,,,,8/4/2010,
2010,Dolphins,,aj edds,placed on ir with torn acl in right knee,,,,8/4/2010,
2010,Texans,,justin griffith,placed on ir with spinal cord concussion,,,,8/4/2010,
2010,Dolphins,,kory sheets,placed on ir,,,,8/5/2010,
2010,Broncos,,josh barrett,placed on ir with shoulder injury,,,,8/5/2010,
2010,Broncos,,kenny mckinley,placed on ir with knee injury,,,,8/6/2010,
2010,Chargers,,bryan walters,placed on ir,,,,8/6/2010,
2010,Jaguars,,jason harmon b,placed on ir,,,,8/6/2010,
2010,Rams,,chris hovan,placed on ir with back injury,,,,8/6/2010,
2010,Ravens,,walt harris lee,placed on ir with achilles tendon injury,,,,8/6/2010,
2010,Browns,,chris roberson,placed on ir with right leg injury,,,,8/7/2010,
2010,Buccaneers,,matt o'hanlon,placed on ir,,,,8/7/2010,
