Season,Team,Acquired,Relinquished,Notes,Unnamed: 5,Unnamed: 6,Unnamed: 7,Date,Player,player_clean_extracted
2009,Bills,,nic harris,placed on ir with knee injury,,,,1/1/2010,,nic harris
2009,Panthers,,steve smith  steve smith sr latrall,placed on ir with forearm injury,,,,1/1/2010,,steve smith 
2009,49ers,,ricky schmitt,placed on ir with left groin injury,,,,1/2/2010,,ricky schmitt
2009,Bills,,todd johnson,placed on ir with hamstring injury,,,,1/2/2010,,todd johnson
2009,Browns,,david veikune,placed on ir with knee injury,,,,1/2/2010,,david veikune
2009,Colts,,tom santi,placed on ir with back injury,,,,1/2/2010,,tom santi
2009,Jaguars,,atiyyah ellison,placed on ir with knee injury,,,,1/2/2010,,atiyyah ellison
2009,Bengals,,pat sims,placed on ir with forearm injury,,,,1/4/2010,,pat sims
2009,Cardinals,,jason banks,placed on ir with ankle injury,,,,1/5/2010,,jason banks
2009,Saints,,charles grant gabriel,placed on ir with triceps injury,,,,1/5/2010,,charles grant gabriel
2009,Chargers,,james holt b,placed on ir with shoulder injury,,,,1/6/2010,,james holt b
2009,Patriots,,wes welker,placed on ir with knee injury,,,,1/6/2010,,wes welker
2009,Saints,,rodney leisle,placed on ir with knee injury,,,,1/15/2010,,rodney leisle
2010,Jaguars,,torrance daniels  tank daniels,placed on ir,,,,4/28/2010,,torrance daniels tank
2010,Jaguars,,bryan smith,placed on ir with torn acl in right knee,,,,5/6/2010,,bryan smith
2010,Chiefs,,chandler williams iii,placed on ir,,,,5/7/2010,,chandler williams iii
2010,Steelers,,limas sweed,placed on ir with achilles tendon injury,,,,5/11/2010,,limas sweed
2010,Buccaneers,,byron storer,placed on ir,,,,5/19/2010,,byron storer
2010,Bears,,brett basanez,placed on ir with wrist injury,,,,5/20/2010,,brett basanez
2010,Titans,,dominique lindsay,placed on ir with achilles tendon injury,,,,5/26/2010,,dominique lindsay
2010,Bears,,lawrence wilson b,placed on ir,,,,6/2/2010,,lawrence wilson b
2010,Eagles,,marlin jackson,placed on ir with achilles tendon injury,,,,6/10/2010,,marlin jackson
2010,Texans,,trey stross,placed on ir,,,,6/14/2010,,trey stross
2010,Broncos,,braxton kelley,placed on ir,,,,6/15/2010,,braxton kelley
2010,Vikings,,aaron rhea,placed on ir,,,,6/15/2010,,aaron rhea
2010,Saints,,roy hall b 1983-12-08,placed on ir,,,,6/16/2010,,roy hall b --
2010,Titans,,roderick hood  rod hood,placed on ir with torn acl in knee,,,,6/16/2010,,roderick hood rod hood
2010,Saints,,greg fassitt,placed on ir,,,,6/17/2010,,greg fassitt
2010,Broncos,,kyle eckel,placed on ir,,,,6/18/2010,,kyle eckel
2010,Redskins,,marques hagans,placed on ir,,,,6/22/2010,,marques hagans
2010,Rams,,kc asiodu,placed on ir,,,,6/29/2010,,kc asiodu
2010,Lions,,copeland bryan,placed on ir with knee injury,,,,7/7/2010,,copeland bryan
2010,Steelers,,willie colon,placed on ir with right achilles tendon injury,,,,7/21/2010,,willie colon
2010,Bills,,joe klopfenstein,placed on ir with undisclosed injury,,,,7/22/2010,,joe klopfenstein
2010,Ravens,,domonique foxworth,placed on ir with torn acl in right knee,,,,8/1/2010,,domonique foxworth
2010,Texans,,glenn martinez,placed on ir with hamstring injury,,,,8/2/2010,,glenn martinez
2010,Colts,,tom santi,placed on ir,,,,8/3/2010,,tom santi
2010,Panthers,,marcus walker b 1986-05-23,placed on ir,,,,8/3/2010,,marcus walker b --
2010,Seahawks,,jameson konz,placed on ir with hip injury,,,,8/3/2010,,jameson konz
2010,Cardinals,,dean muhtadi,placed on ir,,,,8/4/2010,,dean muhtadi
2010,Dolphins,,aj edds,placed on ir with torn acl in right knee,,,,8/4/2010,,aj edds
2010,Texans,,justin griffith,placed on ir with spinal cord concussion,,,,8/4/2010,,justin griffith
