is_wr,recTouchdowns,receptions,targets,yards,avgCushion,avgExpectedYAC,avgIntendedAirYards,avgSeparation,avgYAC,avgYACAboveExpectation,catchPercentage,percentShareOfIntendedAirYards,turf_percentage,total_round_trip_miles,total_snaps,avg_opponent_pass_epa,sos_win_pct,age_season_start,height,weight,forty,past_ir_count,next_season_ir
1,5,29,52,402,7.4906,4.231568179,12.90403846,3.012980894,4.755172414,0.523604235,55.76923077,13.65420578,0.1875,19567.80407,783,0.03319067,0.501887459,23,75,192,4.52,0,0
1,4,41,74,774,7.337777778,4.299774568,19.1077027,2.736569947,4.554634146,0.254859579,55.40540541,21.42304132,0.3125,11937.85766,452,0.056278113,0.508833742,31,70,175,4.35,1,1
1,1,37,56,466,7.127454545,4.216796353,13.15892857,3.222742803,4.674864865,0.458068512,66.07142857,23.00196027,0.3125,12049.56799,446,0.009323124,0.510487885,23,71,203,4.5,0,0
1,2,67,93,688,6.972650602,3.832633577,11.03849462,3.467761146,3.563283582,-0.269349994,72.04301075,23.00547024,0.25,12825.42167,881,0.037970804,0.42912392,27,68,167,4.4,0,0
1,5,39,65,494,6.727692308,2.545113782,12.16446154,2.419483285,2.931025641,0.385911859,60,19.15227059,0.1875,6950.342707,467,0.06615784,0.493668301,22,71,195,4.31,1,0
1,6,40,55,566,6.683414634,5.794257488,8.598909091,3.541262449,7.74925,1.954992512,72.72727273,9.623731511,0.1875,19567.80407,439,0.03319067,0.501887459,25,74,208,4.62,0,0
1,1,38,70,491,6.647058824,4.083272042,9.690428571,2.877394864,3.886315789,-0.196956253,54.28571429,18.31918203,0.3125,11845.4414,687,0.021652013,0.540129429,25,73,194,4.59,0,0
0,2,54,84,558,6.627878788,4.232014621,6.619761905,3.316909019,4.490740741,0.25872612,64.28571429,13.36801591,0.1875,13070.916,512,0.06458592,0.476205065,28,74,245,4.72,2,1
1,10,57,70,965,6.573623188,3.711079315,13.487,3.339030554,4.189473684,0.478394369,81.42857143,24.4369553,0.5625,24565.10818,958,0.03545595,0.478764493,25,70,182,4.4,1,0
1,0,28,47,304,6.569487179,4.307956178,10.49510638,3.063075756,3.358571429,-0.949384749,59.57446809,11.85850665,0.1875,13070.916,462,0.06458592,0.476205065,25,75,200,,0,1
1,1,38,68,450,6.567777778,5.799000199,7.290588235,3.143670568,7.69,1.890999801,55.88235294,10.72732269,0.6875,9420.503367,526,-0.006351409,0.500014781,26,74,225,4.41,1,1
1,5,76,105,816,6.538736842,5.069306981,6.07352381,3.564350324,5.701578947,0.632271967,72.38095238,9.662087533,0.3125,11937.85766,781,0.056278113,0.508833742,25,71,195,4.53,0,0
1,5,32,52,334,6.50375,3.433282408,9.547307692,3.258717256,4.289375,0.856092592,61.53846154,9.405893698,0.125,17312.03603,882,0.025024401,0.492788002,25,75,205,4.35,1,0
1,4,39,53,572,6.470980392,3.582686212,11.22169811,3.006989393,4.152307692,0.569621481,73.58490566,11.25026955,0.1875,13363.3961,483,0.05368471,0.498953227,23,73,198,4.64,0,0
1,4,42,67,487,6.4640625,3.648052675,9.055074627,2.806300831,3.642380952,-0.005671722,62.68656716,15.49702673,0.125,18381.19579,605,0.02577737,0.486296547,23,73,203,4.68,0,0
1,6,50,94,752,6.43923913,3.624238881,16.5006383,2.303899889,3.6434,0.019161119,53.19148936,33.56204844,0.6875,9420.503367,682,-0.006351409,0.500014781,25,75,190,4.36,0,0
1,2,29,49,388,6.37,5.028166449,9.103673469,2.895312886,7.63862069,2.61045424,59.18367347,10.72403074,0.1875,13070.916,428,0.06458592,0.476205065,25,69,177,4.56,0,0
1,6,86,130,1219,6.365916667,4.764846958,11.28884615,2.97665106,5.285465116,0.520618159,66.15384615,29.86278847,0.1875,19567.80407,1252,0.03319067,0.501887459,26,72,193,4.51,1,0
1,1,37,76,371,6.351126761,3.186660028,9.326052632,2.673896584,3.666756757,0.480096728,48.68421053,15.33667859,0.6875,9420.503367,626,-0.006351409,0.500014781,28,73,209,4.5,0,1
1,6,69,112,734,6.338921569,2.539086636,9.596964286,2.261011109,3.215507246,0.67642061,61.60714286,27.10104586,0.1875,15696.0081,872,0.03152491,0.509734047,35,75,218,4.48,0,0
1,1,35,53,302,6.316470588,2.846289917,5.962264151,2.866706214,3.409714286,0.563424368,66.03773585,7.047719305,0.75,14371.79524,543,0.031576075,0.49122807,23,74,215,4.52,0,0
1,10,64,92,821,6.315555556,5.965291079,10.04228261,3.168861894,5.79203125,-0.173259829,69.56521739,17.68217295,0.5625,8246.980691,644,0.07570966,0.468622345,23,73,190,4.43,0,1
1,3,26,43,526,6.3,5.571539884,20.62906977,2.713103557,6.511538462,0.939998577,60.46511628,17.77505701,0.8125,10071.57274,450,0.009048812,0.515512126,24,74,194,4.41,0,0
1,4,74,113,789,6.288712871,3.927293141,6.276548673,2.975121009,5.785135135,1.857841994,65.48672566,17.74602356,0.1875,18211.13552,672,0.041282054,0.532989097,30,70,197,4.42,0,0
1,2,38,73,581,6.287083333,5.799869463,12.55383562,3.316116025,6.185789474,0.385920011,52.05479452,16.2632343,0.3125,12895.67296,691,-0.00611556,0.478207237,23,76,207,4.37,0,0
1,1,59,79,575,6.279117647,4.462121201,7.038860759,3.219911867,4.181525424,-0.280595777,74.6835443,15.56581327,0.4375,18489.7859,683,-0.003635571,0.464858531,32,71,190,4.58,1,0
0,2,55,89,636,6.251081081,4.402366008,9.286853933,2.941083555,5.087454545,0.685088537,61.79775281,14.66784265,0.3125,12895.67296,795,-0.00611556,0.478207237,31,79,265,4.53,1,0
1,7,59,95,842,6.244831461,3.592968956,11.90242105,2.589310149,4.583898305,0.990929349,62.10526316,17.13167571,0.3125,11937.85766,717,0.056278113,0.508833742,22,73,209,4.42,0,0
1,3,35,55,532,6.243061224,6.09112967,12.02872727,4.08580671,5.979428571,-0.111701098,63.63636364,15.24469208,0.6875,18869.44337,1014,0.004994475,0.512246981,30,73,210,4.5,0,1
