is_wr,targets,yards,avgCushion,avgIntendedAirYards,avgSeparation,avgYAC,percentShareOfIntendedAirYards,turf_percentage,total_round_trip_miles,total_snaps,avg_opponent_pass_epa,sos_win_pct,age_season_start,height,weight,forty,past_ir_count,next_season_ir,season
1,52,402,7.4906,12.90403846,3.012980894,4.755172414,13.65420578,0.1875,19567.80407,783,0.03319067,0.501887459,23,75,192,4.52,0,0,2018
1,74,774,7.337777778,19.1077027,2.736569947,4.554634146,21.42304132,0.3125,11937.85766,452,0.056278113,0.508833742,31,70,175,4.35,1,1,2018
1,56,466,7.127454545,13.15892857,3.222742803,4.674864865,23.00196027,0.3125,12049.56799,446,0.009323124,0.510487885,23,71,203,4.5,0,0,2018
1,93,688,6.972650602,11.03849462,3.467761146,3.563283582,23.00547024,0.25,12825.42167,881,0.037970804,0.42912392,27,68,167,4.4,0,0,2018
1,65,494,6.727692308,12.16446154,2.419483285,2.931025641,19.15227059,0.1875,6950.342707,467,0.06615784,0.493668301,22,71,195,4.31,1,0,2018
1,55,566,6.683414634,8.598909091,3.541262449,7.74925,9.623731511,0.1875,19567.80407,439,0.03319067,0.501887459,25,74,208,4.62,0,0,2018
1,70,491,6.647058824,9.690428571,2.877394864,3.886315789,18.31918203,0.3125,11845.4414,687,0.021652013,0.540129429,25,73,194,4.59,0,0,2018
0,84,558,6.627878788,6.619761905,3.316909019,4.490740741,13.36801591,0.1875,13070.916,512,0.06458592,0.476205065,28,74,245,4.72,2,1,2018
1,70,965,6.573623188,13.487,3.339030554,4.189473684,24.4369553,0.5625,24565.10818,958,0.03545595,0.478764493,25,70,182,4.4,1,0,2018
1,47,304,6.569487179,10.49510638,3.063075756,3.358571429,11.85850665,0.1875,13070.916,462,0.06458592,0.476205065,25,75,200,,0,1,2018
1,68,450,6.567777778,7.290588235,3.143670568,7.69,10.72732269,0.6875,9420.503367,526,-0.006351409,0.500014781,26,74,225,4.41,1,1,2018
1,105,816,6.538736842,6.07352381,3.564350324,5.701578947,9.662087533,0.3125,11937.85766,781,0.056278113,0.508833742,25,71,195,4.53,0,0,2018
1,52,334,6.50375,9.547307692,3.258717256,4.289375,9.405893698,0.125,17312.03603,882,0.025024401,0.492788002,25,75,205,4.35,1,0,2018
1,53,572,6.470980392,11.22169811,3.006989393,4.152307692,11.25026955,0.1875,13363.3961,483,0.05368471,0.498953227,23,73,198,4.64,0,0,2018
1,67,487,6.4640625,9.055074627,2.806300831,3.642380952,15.49702673,0.125,18381.19579,605,0.02577737,0.486296547,23,73,203,4.68,0,0,2018
1,94,752,6.43923913,16.5006383,2.303899889,3.6434,33.56204844,0.6875,9420.503367,682,-0.006351409,0.500014781,25,75,190,4.36,0,0,2018
1,49,388,6.37,9.103673469,2.895312886,7.63862069,10.72403074,0.1875,13070.916,428,0.06458592,0.476205065,25,69,177,4.56,0,0,2018
1,130,1219,6.365916667,11.28884615,2.97665106,5.285465116,29.86278847,0.1875,19567.80407,1252,0.03319067,0.501887459,26,72,193,4.51,1,0,2018
1,76,371,6.351126761,9.326052632,2.673896584,3.666756757,15.33667859,0.6875,9420.503367,626,-0.006351409,0.500014781,28,73,209,4.5,0,1,2018
1,112,734,6.338921569,9.596964286,2.261011109,3.215507246,27.10104586,0.1875,15696.0081,872,0.03152491,0.509734047,35,75,218,4.48,0,0,2018
1,53,302,6.316470588,5.962264151,2.866706214,3.409714286,7.047719305,0.75,14371.79524,543,0.031576075,0.49122807,23,74,215,4.52,0,0,2018
1,92,821,6.315555556,10.04228261,3.168861894,5.79203125,17.68217295,0.5625,8246.980691,644,0.07570966,0.468622345,23,73,190,4.43,0,1,2018
1,43,526,6.3,20.62906977,2.713103557,6.511538462,17.77505701,0.8125,10071.57274,450,0.009048812,0.515512126,24,74,194,4.41,0,0,2018
1,113,789,6.288712871,6.276548673,2.975121009,5.785135135,17.74602356,0.1875,18211.13552,672,0.041282054,0.532989097,30,70,197,4.42,0,0,2018
1,73,581,6.287083333,12.55383562,3.316116025,6.185789474,16.2632343,0.3125,12895.67296,691,-0.00611556,0.478207237,23,76,207,4.37,0,0,2018
1,79,575,6.279117647,7.038860759,3.219911867,4.181525424,15.56581327,0.4375,18489.7859,683,-0.003635571,0.464858531,32,71,190,4.58,1,0,2018
0,89,636,6.251081081,9.286853933,2.941083555,5.087454545,14.66784265,0.3125,12895.67296,795,-0.00611556,0.478207237,31,79,265,4.53,1,0,2018
1,95,842,6.244831461,11.90242105,2.589310149,4.583898305,17.13167571,0.3125,11937.85766,717,0.056278113,0.508833742,22,73,209,4.42,0,0,2018
1,55,532,6.243061224,12.02872727,4.08580671,5.979428571,15.24469208,0.6875,18869.44337,1014,0.004994475,0.512246981,30,73,210,4.5,0,1,2018
1,97,743,6.238292683,10.47371134,3.445243265,5.97515625,23.08179901,0.1875,18211.13552,1089,0.041282054,0.532989097,25,72,198,4.42,0,0,2018
1,108,850,6.227065217,7.700925926,3.253567722,4.979864865,19.16474259,0.6875,18869.44337,989,0.004994475,0.512246981,32,70,200,4.52,2,0,2018
1,68,590,6.2178125,9.758676471,2.712475212,5.437209302,16.73146551,0.1875,15696.0081,542,0.03152491,0.509734047,21,71,200,4.47,0,0,2018
1,124,1052,6.211965812,11.48701613,2.970090375,4.538571429,33.29865673,0.75,15119.37179,716,0.045319427,0.516416462,25,71,198,,1,0,2018
1,102,652,6.180816327,12.68411765,2.756729324,2.574821429,25.92527282,0.8125,10071.57274,941,0.009048812,0.515512126,23,74,200,4.45,0,0,2018
1,64,553,6.1745,16.4134375,2.364326201,3.65972973,29.4050465,0.4375,18489.7859,744,-0.003635571,0.464858531,26,73,196,4.38,0,0,2018
1,47,316,6.156363636,11.23531915,3.091274842,3.451538462,16.48312544,0.3125,12049.56799,591,0.009323124,0.510487885,23,74,194,4.55,1,0,2018
1,98,866,6.150212766,9.338979592,3.246848462,4.592394366,20.92940824,0.125,15500.69311,658,0.031874347,0.504024499,31,71,180,4.4,0,0,2018
1,101,715,6.128426966,8.463069307,3.512672612,5.739848485,23.08417323,0.3125,11845.4414,805,0.021652013,0.540129429,24,72,176,4.39,1,0,2018
1,64,494,6.122115385,8.56734375,3.228416457,5.227333333,14.92308613,0.0625,"20,931.44",569,0.03214709,0.529121517,27,74,195,5.18,0,0,2018
1,82,788,6.113,9.01402439,2.887994524,7.929818182,17.90385715,0.1875,6950.342707,733,0.06615784,0.493668301,21,71,215,4.42,0,0,2018
0,72,682,6.083559322,12.03375,2.626242628,4.641702128,19.96502095,0.6875,18869.44337,1084,0.004994475,0.512246981,29,78,265,4.68,3,0,2018
0,64,577,6.080517241,5.09390625,4.422359424,8.967333333,7.621294084,0.75,15119.37179,475,0.045319427,0.516416462,23,75,236,4.42,0,1,2018
0,156,1163,6.079917355,7.278653846,3.241403232,3.346896552,25.7972246,0.1875,18211.13552,1107,0.041282054,0.532989097,27,77,250,4.76,0,0,2018
1,112,891,6.079245283,10.25473214,3.051198104,4.345538462,35.85078224,0.3125,12049.56799,872,0.009323124,0.510487885,23,75,209,,0,0,2018
0,49,313,6.04075,6.583265306,3.865717027,4.4675,6.564095468,0.1875,19567.80407,504,0.03319067,0.501887459,24,75,245,4.62,0,0,2018
1,107,1005,5.981960784,9.911775701,2.901513136,5.743466667,28.86474482,0.8125,18985.53715,950,0.05710488,0.502805728,24,73,211,4.42,0,0,2018
0,49,333,5.964324324,6.286530612,3.440528432,4.436666667,7.461413997,0.1875,6950.342707,526,0.06615784,0.493668301,22,76,248,4.74,0,0,2018
1,59,447,5.955272727,5.723220339,3.234327683,5.01372093,8.179118505,0.1875,6950.342707,529,0.06615784,0.493668301,28,70,191,4.39,0,0,2018
1,89,677,5.919294118,10.37561798,3.021092108,4.931016949,21.11715593,0.6875,17678.83402,764,0.016572893,0.477167183,30,75,229,4.52,0,0,2018
1,149,1021,5.915244755,8.88966443,2.729485972,4.342058824,29.5415414,0.75,14371.79524,874,0.031576075,0.49122807,24,72,191,4.46,0,0,2018
1,89,672,5.912808989,12.84719101,2.246120903,5.139166667,30.87900098,0.3125,11845.4414,815,0.021652013,0.540129429,25,74,216,4.4,0,0,2018
1,120,1270,5.899745763,11.32333333,2.30523626,6.176315789,27.56058034,0.6875,14502.58425,874,0.029891133,0.48635597,28,70,178,4.34,0,0,2018
1,87,672,5.899390244,7.404137931,2.866364179,3.414153846,16.15833239,0.8125,18985.53715,769,0.05710488,0.502805728,29,68,180,4.49,0,0,2018
1,107,872,5.886262626,10.37700935,3.138342282,5.155454545,25.95695737,0.75,15119.37179,934,0.045319427,0.516416462,25,70,194,4.48,0,0,2018
1,137,1479,5.855714286,14.8040146,3.148717596,6.379655172,38.42517686,0.125,17312.03603,1021,0.025024401,0.492788002,24,70,185,4.29,0,0,2018
1,88,739,5.804216867,9.045568182,2.721723652,4.138095238,21.66461636,0.0625,"20,931.44",841,0.03214709,0.529121517,33,75,217,4.51,1,0,2018
1,44,395,5.801904762,14.22113636,2.957531174,5.914347826,15.98337625,0.125,18381.19579,437,0.02577737,0.486296547,27,69,179,4.27,1,1,2018
1,44,253,5.791142857,3.169318182,3.466580554,4.081111111,2.669354206,0.125,12606.14049,302,0.04255799,0.492845932,23,68,181,4.51,0,1,2018
1,153,1373,5.770486111,9.596928105,2.903090043,3.854867257,32.74803065,0.75,14371.79524,1011,0.031576075,0.49122807,28,74,200,4.45,0,0,2018
0,82,634,5.763225806,6.875,3.547251405,4.02765625,12.57326506,0.75,14371.79524,925,0.031576075,0.49122807,28,78,265,4.83,1,0,2018
0,76,569,5.763050847,8.054605263,3.446349332,3.716296296,13.71816966,0.25,12825.42167,860,0.037970804,0.42912392,26,75,235,4.62,0,1,2018
0,110,750,5.753152174,9.858181818,3.380877393,3.863181818,21.99491707,0.6875,14502.58425,715,0.029891133,0.48635597,25,76,253,4.6,0,1,2018
0,56,502,5.742619048,9.96375,3.12823136,5.118461538,12.07343118,0.6875,9420.503367,625,-0.006351409,0.500014781,22,76,252,4.78,0,1,2018
0,43,269,5.732777778,6.093255814,3.689418337,5.236206897,6.781902846,0.5625,24565.10818,564,0.03545595,0.478764493,25,78,261,4.76,0,0,2018
1,46,268,5.71047619,9.591521739,2.439853777,3.09962963,8.949075398,0.6875,14502.58425,599,0.029891133,0.48635597,23,73,219,4.55,0,0,2018
1,94,838,5.71047619,7.911170213,3.031732952,6.136212121,14.23259036,0.5625,8246.980691,830,0.07570966,0.468622345,29,74,210,4.62,1,0,2018
1,170,1677,5.697839506,14.02658824,2.484572657,4.198672566,45.6369211,0.5625,8246.980691,818,0.07570966,0.468622345,29,75,220,4.34,1,0,2018
1,138,1524,5.69380597,15.67927536,2.098511042,3.76244186,32.78279696,0.3125,11937.85766,939,0.056278113,0.508833742,25,77,231,4.53,0,1,2018
1,97,717,5.683152174,16.34103093,2.343665674,4.095238095,34.22183264,0.125,11479.66212,797,0.05201982,0.496732026,28,71,179,4.34,0,0,2018
1,72,485,5.678955224,6.389027778,3.644751079,5.096037736,9.330396351,0.6875,14502.58425,684,0.029891133,0.48635597,24,72,184,,0,1,2018
1,117,1204,5.678157895,12.91367521,2.7132489,4.48525,30.7449062,0.1875,19567.80407,1195,0.03319067,0.501887459,24,70,189,4.33,1,0,2018
0,48,281,5.671282051,5.704375,3.295796064,4.982258065,6.261534134,0.125,15500.69311,555,0.031874347,0.504024499,25,77,255,4.81,1,0,2018
1,52,334,5.660980392,9.526346154,2.635366822,2.694285714,10.04760427,0.6875,14502.58425,560,0.029891133,0.48635597,27,72,204,4.43,1,0,2018
1,149,976,5.659411765,10.80536913,3.273078564,3.811481481,30.45470194,0.1875,13363.3961,957,0.05368471,0.498953227,25,71,208,4.65,0,0,2018
0,49,289,5.647837838,8.701428571,2.868555935,2.106333333,6.459926397,0.3125,11937.85766,534,0.056278113,0.508833742,27,77,235,4.77,1,0,2018
1,108,1028,5.641276596,9.378518519,2.915722646,5.794736842,22.92610717,0.625,8279.790101,773,0.033791225,0.516237745,23,74,203,4.58,0,0,2018
0,150,1336,5.618666667,8.9066,2.894876457,5.825242718,25.31156573,0.125,17312.03603,1128,0.025024401,0.492788002,28,77,260,4.63,1,0,2018
1,78,532,5.586025641,14.30538462,2.422757692,3.295454545,26.82498203,0.1875,13070.916,846,0.06458592,0.476205065,25,74,206,4.5,1,1,2018
0,101,896,5.582361111,8.019009901,2.965243913,5.733970588,22.04319805,0.0625,"20,931.44",767,0.03214709,0.529121517,31,77,254,4.49,1,0,2018
1,44,427,5.581395349,12.14931818,2.210701572,4.213214286,14.27034559,0.8125,11869.09747,631,0.059760243,0.493855827,22,73,210,4.49,0,0,2018
0,88,660,5.577121212,6.687727273,3.239225479,3.514225352,11.26358378,0.5625,8246.980691,809,0.07570966,0.468622345,23,75,248,4.72,0,0,2018
1,46,286,5.575,8.812391304,2.782508377,4.69,10.3545958,0.125,18381.19579,380,0.02577737,0.486296547,32,72,211,4.42,1,0,2018
1,65,653,5.564677419,12.50184615,2.760509326,5.143658537,20.14647111,0.125,29416.74184,862,0.024343356,0.485303673,26,76,205,4.43,0,0,2018
0,88,639,5.555806452,8.52875,3.061406314,6.039107143,14.19699841,0.1875,13363.3961,871,0.05368471,0.498953227,22,76,246,4.64,0,1,2018
1,94,754,5.543,11.87542553,1.957279772,4.5,25.01585495,0.25,12825.42167,825,0.037970804,0.42912392,25,75,210,4.6,2,0,2018
0,72,610,5.521521739,5.6975,3.27689435,7.9492,7.852438023,0.125,12606.14049,564,0.04255799,0.492845932,28,76,267,4.69,2,0,2018
1,55,519,5.503962264,8.406181818,3.453011174,6.22025,8.759458753,0.125,17312.03603,587,0.025024401,0.492788002,25,73,211,4.43,1,0,2018
1,67,380,5.470746269,15.94641791,1.734577675,2.7692,21.40922007,0.125,17312.03603,537,0.025024401,0.492788002,27,77,245,4.61,1,0,2018
1,92,840,5.451333333,10.8423913,2.49139253,4.669846154,22.66262564,0.1875,18211.13552,881,0.041282054,0.532989097,28,75,218,4.48,1,1,2018
1,45,503,5.448837209,14.56288889,3.334989638,5.4665625,14.92867459,0.6875,17678.83402,375,0.016572893,0.477167183,24,72,180,4.32,0,0,2018
1,46,171,5.408478261,13.22869565,1.895190928,0.917058824,15.34295483,0.1875,15696.0081,430,0.03152491,0.509734047,23,73,204,4.58,0,0,2018
0,136,1377,5.405480769,7.334117647,3.313864093,10.19443182,25.47817558,0.125,18381.19579,929,0.02577737,0.486296547,24,76,247,4.52,0,0,2018
1,95,651,5.395411765,8.311157895,3.138896414,4.833225806,17.04657821,0.125,11479.66212,872,0.05201982,0.496732026,25,71,195,4.62,0,0,2018
1,58,210,5.385454545,13.98758621,2.218845365,3.073333333,18.36297708,0.625,8279.790101,602,0.033791225,0.516237745,22,71,188,4.22,1,1,2018
1,61,383,5.379655172,8.166065574,2.92392837,6.526052632,8.83996039,0.3125,12895.67296,466,-0.00611556,0.478207237,28,70,192,4.46,1,0,2018
1,45,467,5.361395349,11.83733333,3.37600308,7.574444444,13.60654733,0.125,18381.19579,452,0.02577737,0.486296547,22,73,195,,0,0,2018
1,46,243,5.328604651,8.390217391,3.053193703,2.350666667,8.825970925,0.125,15500.69311,471,0.031874347,0.504024499,23,73,206,4.52,0,0,2018
1,68,507,5.320147059,13.99632353,2.682152741,5.464242424,23.87402641,0.8125,18985.53715,844,0.05710488,0.502805728,22,73,200,4.51,0,0,2018
1,166,1383,5.316601307,8.685783133,3.001245817,6.072522523,27.59972512,0.125,12606.14049,960,0.04255799,0.492845932,21,73,215,4.54,0,0,2018
