Player,40yd,
Chris Hogan,4.5,
Julian Edelman,4.52,
Odell Beckham Jr.,4.43,
Dede Westbrook,4.39,
Seth Roberts,5.18,
Corey Davis,,
Cole Beasley,4.49,
Tyreek Hill,4.29,
Adam Thielen,4.45,
Chris Herndon,4.78,
Chester Rogers,,
Cameron Brate,4.77,
Tre'Quan Smith,4.49,
Tyrell Williams,4.43,
Dante Pettis,,
Daesean Hamilton,4.52,
Anthony Miller,4.5,
Benjamin Watson,4.52,
Doug Baldwin,4.48,
Dallas Goedert,4.64,
Ryan Griffin,4.87,
Ryan Griffin,4.87,
Ryan Griffin,4.87,
Ryan Griffin,4.87,
C.J. Uzomah,4.64,
Josh Gordon,4.52,
Antonio Gates,4.87,
Corey Davis,,
Jacob Hollister,4.64,
Steven Sims,4.56,
Alex Erickson,4.54,
Bisi Johnson,4.51,
Marquise Brown,4.27,
Adam Thielen,4.49,
Dede Westbrook,4.39,
Cole Beasley,4.49,
Taylor Gabriel,4.4,
Breshad Perriman,4.19,
Tyreek Hill,4.29,
Russell Gage,4.42,
Jordan Akins,,
Damiere Byrd,4.27,
Anthony Miller,4.5,
Julian Edelman,4.52,
Dallas Goedert,4.64,
Odell Beckham Jr.,4.43,
Adam Humphries,4.53,
Josh Gordon,4.52,
Cameron Brate,4.77,
Jack Doyle,4.9,
DaeSean Hamilton,4.52,
Darren Fells,4.94,
Tyrell Williams,4.43,
Preston Williams,4.61,
Dawson Knox,4.51,
Robby Anderson,4.36,
Marquise Brown,4.27,
Braxton Berrios,4.44,
Laviska Shenault,,
Henry Ruggs,,
Cam Sims,,
Corey Davis,,
Tre'Quan Smith,4.49,
Jakeem Grant,,
Keelan Cole,4.59,
Robby Anderson,4.36,
Tee Higgins,4.43,
Dallas Goedert,4.64,
Anthony Firkser,,
Dan Arnold,4.64,
Jalen Guyton,4.39,
Scott Miller,4.3,
Cole Beasley,4.49,
Adam Thielen,4.49,
Robert Tonyan,4.58,
KJ Hamler,3.93,
Chris Herndon,4.86,
DaeSean Hamilton,4.52,
Breshad Perriman,4.24,
Greg Ward,4.59,
Damiere Byrd,4.27,
Tim Patrick,4.47,
Tyreek Hill,4.29,
Anthony Miller,4.5,
Russell Gage,4.5,
DK Metcalf,4.33,
Jordan Akins,4.93,
Odell Beckham Jr.,4.43,
Dawson Knox,4.59,
Marquise Brown,4.27,
Deonte Harris,4.47-4.49,
Robby Anderson,4.36,
Jalen Guyton,4.39,
Cameron Brate,4.77,
Kalif Raymond,4.34,
Cole Beasley,4.49,
Corey Davis,,
Adam Humphries,4.53,
Laviska Shenault,4.58,
Braxton Berrios,4.44,
Tre'Quan Smith,4.49,
Jaylen Waddle,4.37,
Olamide Zaccheaus,4.49,
C.J. Uzomah,4.62,
DK Metcalf,4.33,
Odell Beckham Jr.,4.43,
Tyreek Hill,4.29,
Devonta Smith,4.48,
Van Jefferson,4.39,
Russell Gage,4.5,
Adam Thielen,4.49,
Dallas Goedert,4.64,
Tim Patrick,4.47,
Tee Higgins,4.75,
Tyler Johnson,,
Dan Arnold,4.68,
Keelan Cole,4.64,
Pat Freiermuth,4.77,
Nick Westbrook-Ikhine,4.57,
Dawson Knox,4.59,
Mo Alie-Cox,4.75,
Josh Palmer,4.52,
Bryan Edwards,4.53,
Greg Dortch,4.59,
Ben Skowronek,4.64,
Kalif Raymond,4.34,
Drake London,4.54,
Russell Gage,4.42,
DeAndre Carter,4.44,
Marquise Brown,4.27,
Noah Brown,4.49,
Olamide Zaccheaus,4.49,
Corey Davis,,
Robert Tonyan,4.58,
Devonta Smith,4.48,
Isaiah Likely,4.61,
Romeo Doubs,4.56,
Tyreek Hill,4.29,
DK Metcalf,4.33,
Josh Palmer,4.52,
Pat Freiermuth,4.77,
Cade Otton,4.64,
Dallas Goedert,4.64,
Adam Thielen,4.49,
Trent Sherfield,,
Jordan Akins,4.93,
Tee Higgins,4.43,
Jaylen Waddle,4.37,
Dawson Knox,4.59,
Nick Westbrook-Ikhine,4.57,
Terrace Marshall,4.4,
Pat Freiermuth,4.77,
Jaxon Smith-Njigba,4.53,
Tank Dell,4.49,
Josh Palmer,4.52,
Nick Westbrook-Ikhine,4.68,
DeVonta Smith,4.48,
Noah Brown,4.56,
Jaylen Waddle,4.52,
Dallas Goedert,4.64,
Rashid Shaheed,4.53,
Cade Otton,4.78,
Kylen Granson,4.63,
Drake London,,
Adam Thielen,4.45,
Tanner Hudson,4.84,
Quentin Johnston,4.52,
Dalton Kincaid,4.71,
Marquise Brown,4.27,
Justin Watson,4.44,
Puka Nacua,4.57,
Tee Higgins,4.54,
Romeo Doubs,4.5,4.47-4.50
Sam LaPorta,4.59,
DK Metcalf,4.33,
Tyreek Hill,4.29,
Luke Musgrave,4.61,
Odell Beckham Jr.,4.43,
Trey McBride,4.56,
Marvin Mims Jr,4.38,
Greg Dortch,4.59,
Olamide Zaccheaus,4.49,
Pat Freiermuth,4.77,
Isaiah Likely,4.8,
Drake London,4.5,
Josh Palmer,4.52,
Noah Brown,4.56,
Parker Washington,4.49,
DeVonta Smith,4.48,
Jameson Williams,4.25,
Puka Nacua,4.57,
Brenton Strange,4.7,
Calvin Austin III,4.32,
Adam Thielen,4.49,
Kavontae Turpin,4.31,
Jaxon Smith-Njigba,4.53,
Tee Higgins,4.75,
Brian Thomas Jr.,4.33,
Nick Westbrook-Ikhine,4.68,
Malik Nabers,4.35,
Romeo Doubs,4.5,4.47-4.5
Tank Dell,4.49,
Tucker Kraft,4.69,
Sam LaPorta,4.59,
Quentin Johnston,4.52,
Dallas Goedert,4.64,
Tyreek Hill,4.29,
Cade Otton,4.78,
D.J. Moore,4.42,
Dalton Kincaid,4.71,
Dalton Kincaid,4.71,
DK Metcalf,4.33,
Deebo Samuel Sr.,4.48,
Marvin Harrison Jr.,4.6,
Trey McBride,4.56,
Jordan Akins,,
Jaylen Waddle,4.52,
