,avgCushion,avgExpectedYAC,avgIntendedAirYards,avgSeparation,avgYAC,avgYACAboveExpectation,catchPercentage,percentShareOfIntendedAirYards,recTouchdowns,receptions,targets,yards,player_x,playerName,position,teamId,season,player_clean,team_abbr,total_round_trip_miles,birth_date,turf_percentage,player_y,total_snaps,avg_opponent_pass_epa,sos_win_pct,age_season_start,height,weight,forty
3,6.972650602,3.832633577,11.03849462,3.467761146,3.563283582,-0.269349994,72.04301075,23.00547024,2,67,93,688,"{'season': 2018, 'currentTeamId': '0810', 'displayName': 'Taylor Gabriel', 'esbId': 'GAB627060', 'firstName': 'Taylor', 'footballName': 'Taylor', 'gsisId': '00-0031228', 'gsisItId': 42016, 'headshot': 'https://static.www.nfl.com/image/private/{formatInstructions}/league/nc4aoax8j5mnnrjewu7p', 'jerseyNumber': 18, 'lastName': 'Gabriel', 'ngsPosition': 'WR', 'ngsPositionGroup': 'WR', 'position': 'WR', 'positionGroup': 'WR', 'shortName': 'T.Gabriel', 'smartId': '32004741-4262-7060-f2df-7bd304949774', 'status': 'ACT'}",taylor gabriel,WR,810,2018,taylor gabriel,CHI,12825.42167,1991-02-17,0.25,Taylor Gabriel,881,0.037970804,0.4291239199498169,27,68.0,167.0,
6,6.647058824,4.083272042,9.690428571,2.877394864,3.886315789,-0.196956253,54.28571429,18.31918203,1,38,70,491,"{'season': 2018, 'currentTeamId': '2250', 'displayName': 'Keelan Cole', 'esbId': 'COL130738', 'firstName': 'Keelan', 'footballName': 'Keelan', 'gsisId': '00-0033681', 'gsisItId': 45555, 'headshot': 'https://static.www.nfl.com/image/private/{formatInstructions}/league/bhjafw7r4aflwm11iynh', 'jerseyNumber': 84, 'lastName': 'Cole', 'ngsPosition': 'WR', 'ngsPositionGroup': 'WR', 'position': 'WR', 'positionGroup': 'WR', 'shortName': 'K.Cole', 'smartId': '3200434f-4c13-0738-9b9e-38aa1121bdd9', 'status': 'ACT'}",keelan cole,WR,2250,2018,keelan cole,JAX,11845.4414,1993-04-20,0.3125,Keelan Cole,687,0.021652013,0.5401294289645683,25,73.0,194.0,
9,6.569487179,4.307956178,10.49510638,3.063075756,3.358571429,-0.949384749,59.57446809,11.85850665,0,28,47,304,"{'season': 2018, 'currentTeamId': '5110', 'displayName': 'Maurice Harris', 'esbId': 'HAR485163', 'firstName': 'Maurice', 'footballName': 'Maurice', 'gsisId': '00-0032362', 'gsisItId': 43563, 'headshot': 'https://static.www.nfl.com/image/private/{formatInstructions}/league/w31fw8vgazrlgvyp2szu', 'jerseyNumber': 13, 'lastName': 'Harris', 'position': 'WR', 'positionGroup': 'WR', 'shortName': 'M.Harris', 'smartId': '32004841-5248-5163-915a-8240910dd87e', 'status': 'RES', 'suffix': 'Jr.', 'ngsPosition': 'WR', 'ngsPositionGroup': 'WR'}",maurice harris,WR,5110,2018,maurice harris,WAS,13070.916,1992-11-11,0.1875,Maurice Harris,462,0.06458592,0.4762050653594771,25,75.0,200.0,
11,6.538736842,5.069306981,6.07352381,3.564350324,5.701578947,0.632271967,72.38095238,9.662087533,5,76,105,816,"{'season': 2018, 'currentTeamId': '4900', 'displayName': 'Adam Humphries', 'esbId': 'HUM721507', 'firstName': 'Adam', 'footballName': 'Adam', 'gsisId': '00-0032009', 'gsisItId': 43010, 'headshot': 'https://static.www.nfl.com/image/private/{formatInstructions}/league/k0vkjiqxo1qntcqye1p3', 'jerseyNumber': 10, 'lastName': 'Humphries', 'ngsPosition': 'SLOT_WR', 'ngsPositionGroup': 'WR', 'position': 'WR', 'positionGroup': 'WR', 'shortName': 'A.Humphries', 'smartId': '32004855-4d72-1507-4b02-e4f7666b5805', 'status': 'ACT'}",adam humphries,WR,4900,2018,adam humphries,TB,11937.85766,1993-06-24,0.3125,Adam Humphries,781,0.056278113,0.5088337418300654,25,71.0,195.0,
15,6.43923913,3.624238881,16.5006383,2.303899889,3.6434,0.019161119,53.19148936,33.56204844,6,50,94,752,"{'season': 2018, 'currentTeamId': '3430', 'displayName': 'Robby Anderson', 'esbId': 'AND460305', 'firstName': 'Robby', 'footballName': 'Robby', 'gsisId': '00-0032688', 'gsisItId': 43808, 'headshot': 'https://static.www.nfl.com/image/private/{formatInstructions}/league/vtqf5f1ti4ojfjggm388', 'jerseyNumber': 11, 'lastName': 'Anderson', 'ngsPosition': 'WR', 'ngsPositionGroup': 'WR', 'position': 'WR', 'positionGroup': 'WR', 'shortName': 'R.Anderson', 'smartId': '3200414e-4446-0305-58a8-61667bde4206', 'status': 'ACT'}",robby anderson,WR,3430,2018,robby anderson,NYJ,9420.503367,1993-05-09,0.6875,Robby Anderson,682,-0.006351409,0.5000147811317509,25,75.0,190.0,
28,6.243061224,6.09112967,12.02872727,4.08580671,5.979428571,-0.111701098,63.63636364,15.24469208,3,35,55,532,"{'season': 2018, 'currentTeamId': '3200', 'displayName': 'Chris Hogan', 'esbId': 'HOG008552', 'firstName': 'Chris', 'footballName': 'Chris', 'gsisId': '00-0028237', 'gsisItId': 37737, 'headshot': 'https://static.www.nfl.com/image/private/{formatInstructions}/league/dssn7zhhr5aqj3ujotfy', 'jerseyNumber': 15, 'lastName': 'Hogan', 'ngsPosition': 'WR', 'ngsPositionGroup': 'WR', 'position': 'WR', 'positionGroup': 'WR', 'shortName': 'C.Hogan', 'smartId': '3200484f-4700-8552-d771-1e9cfd53695f', 'status': 'ACT'}",chris hogan,WR,3200,2018,chris hogan,NE,18869.44337,1987-10-24,0.6875,Chris Hogan,1014,0.004994475,0.5122469809715207,30,73.0,210.0,
30,6.227065217,4.657301597,7.700925926,3.253567722,4.979864865,0.322563268,68.51851852,19.16474259,6,74,108,850,"{'season': 2018, 'currentTeamId': '3200', 'displayName': 'Julian Edelman', 'esbId': 'EDE425791', 'firstName': 'Julian', 'footballName': 'Julian', 'gsisId': '00-0027150', 'gsisItId': 34683, 'headshot': 'https://static.www.nfl.com/image/private/{formatInstructions}/league/u0hbuo2bsvtlg7lnxm43', 'jerseyNumber': 11, 'lastName': 'Edelman', 'ngsPosition': 'SLOT_WR', 'ngsPositionGroup': 'WR', 'position': 'WR', 'positionGroup': 'WR', 'shortName': 'J.Edelman', 'smartId': '32004544-4542-5791-52f0-bc67f5a8aae9', 'status': 'ACT'}",julian edelman,WR,3200,2018,julian edelman,NE,18869.44337,1986-05-22,0.6875,Julian Edelman,989,0.004994475,0.5122469809715207,32,70.0,200.0,
32,6.211965812,4.449483493,11.48701613,2.970090375,4.538571429,0.089087936,62.09677419,33.29865673,6,77,124,1052,"{'season': 2018, 'currentTeamId': '3410', 'displayName': 'Odell Beckham', 'esbId': 'BEC573252', 'firstName': 'Odell', 'footballName': 'Odell', 'gsisId': '00-0031235', 'gsisItId': 41238, 'headshot': 'https://static.www.nfl.com/image/private/{formatInstructions}/league/yzjnhcodduxtsqobvmpe', 'jerseyNumber': 13, 'lastName': 'Beckham', 'position': 'WR', 'positionGroup': 'WR', 'shortName': 'O.Beckham', 'smartId': '32004245-4357-3252-264b-1da3e93d2745', 'status': 'ACT', 'suffix': 'Jr.', 'ngsPosition': 'WR', 'ngsPositionGroup': 'WR'}",odell beckham,WR,3410,2018,odell beckham jr,NYG,15119.37179,1992-11-05,0.75,,716,0.045319427,0.5164164624183006,25,71.0,198.0,
37,6.128426966,4.624369947,8.463069307,3.512672612,5.739848485,1.115478537,65.34653465,23.08417323,5,66,101,715,"{'season': 2018, 'currentTeamId': '2250', 'displayName': 'Dede Westbrook', 'esbId': 'WES551470', 'firstName': 'Decrick', 'footballName': 'Dede', 'gsisId': '00-0033839', 'gsisItId': 44923, 'headshot': 'https://static.www.nfl.com/image/private/{formatInstructions}/league/ka3wmdkh42mcj3lgbjoe', 'jerseyNumber': 12, 'lastName': 'Westbrook', 'ngsPosition': 'SLOT_WR', 'ngsPositionGroup': 'WR', 'position': 'WR', 'positionGroup': 'WR', 'shortName': 'D.Westbrook', 'smartId': '32005745-5355-1470-8067-83ca40023853', 'status': 'ACT'}",dede westbrook,WR,2250,2018,dede westbrook,JAX,11845.4414,1993-11-21,0.3125,Dede Westbrook,805,0.021652013,0.5401294289645683,24,72.0,176.0,
38,6.122115385,4.433120034,8.56734375,3.228416457,5.227333333,0.794213299,70.3125,14.92308613,2,45,64,494,"{'season': 2018, 'currentTeamId': '2520', 'displayName': 'Seth Roberts', 'esbId': 'ROB240370', 'firstName': 'Seth', 'footballName': 'Seth', 'gsisId': '00-0031166', 'gsisItId': 41983, 'headshot': 'https://static.www.nfl.com/image/private/{formatInstructions}/league/evaluuij0u4wrxo94tkw', 'jerseyNumber': 10, 'lastName': 'Roberts', 'ngsPosition': 'SLOT_WR', 'ngsPositionGroup': 'WR', 'position': 'WR', 'positionGroup': 'WR', 'shortName': 'S.Roberts', 'smartId': '3200524f-4224-0370-24b1-002f3e8d6b15', 'status': 'ACT'}",seth roberts,WR,2520,2018,seth roberts,OAK,"20,931.44",1991-02-22,0.0625,Seth Roberts,569,0.03214709,0.5291215170278638,27,74.0,195.0,
