Date,Team,Acquired,Relinquished,Notes
2010-01-01,Bills,,• Nic Harris,placed on ir with knee injury
2010-01-01,Panthers,,• Steve Smith / Steve Smith Sr. (Latrall),placed on ir with forearm injury
2010-01-02,49ers,,• Ricky Schmitt,placed on ir with left groin injury
2010-01-02,Bills,,• Todd Johnson,placed on ir with hamstring injury
2010-01-02,Browns,,• David Veikune,placed on ir with knee injury
2010-01-02,Colts,,• Tom Santi,placed on ir with back injury
2010-01-02,Jaguars,,• Atiyyah Ellison,placed on ir with knee injury
2010-01-04,Bengals,,• Pat Sims,placed on ir with forearm injury
2010-01-05,Cardinals,,• Jason Banks,placed on ir with ankle injury
2010-01-05,Saints,,• Charles Grant (Gabriel),placed on ir with triceps injury
2010-01-06,Chargers,,• James Holt (b),placed on ir with shoulder injury
2010-01-06,Patriots,,• Wes Welker,placed on ir with knee injury
2010-01-15,Saints,,• Rodney Leisle,placed on ir with knee injury
2010-04-28,Jaguars,,• Torrance Daniels / Tank Daniels,placed on ir
2010-05-06,Jaguars,,• Bryan Smith,placed on ir with torn acl in right knee
2010-05-07,Chiefs,,• Chandler Williams III,placed on ir
2010-05-11,Steelers,,• Limas Sweed,placed on ir with achilles tendon injury
2010-05-19,Buccaneers,,• Byron Storer,placed on ir
2010-05-20,Bears,,• Brett Basanez,placed on ir with wrist injury
2010-05-26,Titans,,• Dominique Lindsay,placed on ir with achilles tendon injury
2010-06-02,Bears,,• Lawrence Wilson (b),placed on ir
2010-06-10,Eagles,,• Marlin Jackson,placed on ir with achilles tendon injury
2010-06-14,Texans,,• Trey Stross,placed on ir
2010-06-15,Broncos,,• Braxton Kelley,placed on ir
2010-06-15,Vikings,,• Aaron Rhea,placed on ir
2010-06-16,Saints,,• Roy Hall (b. 1983-12-08),placed on ir
2010-06-16,Titans,,• Roderick Hood / Rod Hood,placed on ir with torn acl in knee
2010-06-17,Saints,,• Greg Fassitt,placed on ir
2010-06-18,Broncos,,• Kyle Eckel,placed on ir
2010-06-22,Redskins,,• Marques Hagans,placed on ir
2010-06-29,Rams,,• K.C. Asiodu,placed on ir
2010-07-07,Lions,,• Copeland Bryan,placed on ir with knee injury
2010-07-21,Steelers,,• Willie Colon,placed on ir with right achilles tendon injury
2010-07-22,Bills,,• Joe Klopfenstein,placed on ir with undisclosed injury
2010-08-01,Ravens,,• Domonique Foxworth,placed on ir with torn acl in right knee
2010-08-02,Texans,,• Glenn Martinez,placed on ir with hamstring injury
2010-08-03,Colts,,• Tom Santi,placed on ir
2010-08-03,Panthers,,• Marcus Walker (b. 1986-05-23),placed on ir
2010-08-03,Seahawks,,• Jameson Konz,placed on ir with hip injury
2010-08-04,Cardinals,,• Dean Muhtadi,placed on ir
2010-08-04,Dolphins,,• A.J. Edds,placed on ir with torn acl in right knee
2010-08-04,Texans,,• Justin Griffith,placed on ir with spinal cord concussion
2010-08-05,Dolphins,,• Kory Sheets,placed on ir
2010-08-05,Broncos,,• Josh Barrett,placed on ir with shoulder injury
2010-08-06,Broncos,,• Kenny McKinley,placed on ir with knee injury
2010-08-06,Chargers,,• Bryan Walters,placed on ir
2010-08-06,Jaguars,,• Jason Harmon (b),placed on ir
2010-08-06,Rams,,• Chris Hovan,placed on ir with back injury
2010-08-06,Ravens,,• Walt Harris (Lee),placed on ir with achilles tendon injury
2010-08-07,Browns,,• Chris Roberson,placed on ir with right leg injury
2010-08-07,Buccaneers,,• Matt O'Hanlon,placed on ir
2010-08-07,Packers,,• Jeff Moturi,placed on ir with knee injury
2010-08-07,Rams,,• Mark Lewis (b),placed on ir for undisclosed reasons
2010-08-08,Chiefs,,• Tervaris Johnson,placed on ir with leg injury
2010-08-08,Giants,,• Rueben Riley,placed on ir
2010-08-08,Jaguars,,• Nate Hughes,placed on ir
2010-08-08,Seahawks,,• Anthony Heygood,placed on ir
2010-08-08,Jaguars,,• Terrell Whitehead,placed on ir
2010-08-09,Bears,,• Mike Teel,placed on ir
2010-08-09,Raiders,,• Jonathan Holland,placed on ir with ankle injury
2010-08-09,Seahawks,,• Isaiah Stanback,placed on ir
2010-08-09,Seahawks,,• Ryan Powdrell,placed on ir
2010-08-09,Steelers,,• Tuff Harris,placed on ir
2010-08-10,Bears,,• Averell Spicer,placed on ir
2010-08-10,Cardinals,,• Charles Ali,placed on ir
2010-08-10,Lions,,• Joe Cohen,placed on ir
2010-08-11,49ers,,• Martail Burnett,placed on ir with right knee injury
2010-08-11,Bengals,,• Cordera Eason,placed on ir with foot injury
2010-08-11,Cowboys,,• Kevin Brock,placed on ir
2010-08-11,Cowboys,,• Titus Ryan,placed on ir
2010-08-12,Bears,,• Antonio Robinson,placed on ir
2010-08-12,Bears,,• Harvey Unga,placed on ir with right hamstring injury
2010-08-12,Bills,,• Felton Huggins,placed on ir
2010-08-12,Dolphins,,• Evan Oglesby,placed on ir with left ankle injury
2010-08-12,Packers,,• Josh Bell,placed on ir
2010-08-12,Steelers,,• Andre Frazier,placed on ir with knee injury
2010-08-13,49ers,,• Scott McKillop,placed on ir with torn acl in left knee
2010-08-13,Cardinals,,• Keilen Dykes,placed on ir
2010-08-13,Patriots,,• Ty Warren,placed on ir with hip injury
2010-08-15,Eagles,,• Antoine Harris,placed on ir with foot injury
2010-08-15,Patriots,,• Torry Holt,placed on ir with knee injury
2010-08-16,Chargers,,• Ali Highsmith,placed on ir
2010-08-16,Colts,,• David Caldwell (b),placed on ir
2010-08-16,Jets,,• Marlon Davis,placed on ir
2010-08-16,Lions,,• Jordon Dizon,placed on ir with knee injury
2010-08-16,Panthers,,• Steve Justice,placed on ir
2010-08-16,Saints,,• Lynell Hamilton,placed on ir with knee injury
2010-08-16,Texans,,• Ben Tate (b),placed on ir with ankle injury
2010-08-16,Texans,,• Tim Bulman,placed on ir with shoulder injury
2010-08-16,Titans,,• Marcus Howard,placed on ir
2010-08-17,Bills,,• Ryan Manalac,placed on ir
2010-08-17,Browns,,• Dave Zastudil,placed on ir with right knee injury
2010-08-17,Browns,,• Johnathan Haggerty,placed on ir
2010-08-18,Colts,,• Jamie Silva,placed on ir
2010-08-18,Lions,,• Richard Dickson,placed on ir with knee injury
2010-08-18,Titans,,• Stafon Johnson,placed on ir with right ankle and leg injury
2010-08-19,49ers,,• Chris Patrick,placed on ir with shoulder injury
2010-08-19,Bears,,• Matt Mayberry,placed on ir
2010-08-19,Colts,,• Donye McCleskey / Donye' McCleskey,placed on ir
2010-08-19,Lions,,• Jahi Word-Daniels,placed on ir
2010-08-19,Lions,,• Matt Clapp,placed on ir
2010-08-19,Raiders,,• Charlie Frye,placed on ir with right wrist injury
2010-08-19,Redskins,,• Mike Furrey,placed on ir with concussion
2010-08-19,Vikings,,• Jaymar Johnson,placed on ir with fractured left thumb
2010-08-20,Buccaneers,,• De'von Hall,placed on ir
2010-08-20,Jaguars,,• Freddy Keiaho,placed on ir with concussion
2010-08-20,Texans,,• Darnell Bing,placed on ir with neck injury
2010-08-21,Falcons,,• Kerry Meier,placed on ir with knee injury
2010-08-23,Bills,,• Danny Batten,placed on ir with right shoulder injury (surgery)
2010-08-23,Bills,,• Marcus Easley,placed on ir with left knee injury
2010-08-23,Colts,,• Jordan Hemby,placed on ir
2010-08-23,Jets,,• Ropati Pitoitua,placed on ir with left achilles tendon injury
2010-08-23,Lions,,• Roy Schuening,placed on ir
2010-08-23,Saints,,• Marcus Mailei,placed on ir with undisclosed injury
2010-08-24,Bears,,• Eric Peterman,placed on ir
2010-08-24,Bengals,,• Andrew Mitchell,placed on ir
2010-08-24,Patriots,,• Kade Weston,placed on ir with undisclosed injury
2010-08-24,Saints,,• P.J. Hill,placed on ir with left leg injury
2010-08-24,Browns,,• Kwaku Danso,placed on ir
2010-08-25,Bills,,• Michael Matthews,placed on ir
2010-08-25,Giants,,• Michael Greco,placed on ir
2010-08-25,Rams,,• Dominic Douglas,placed on ir
2010-08-26,Lions,,• Trevor Canfield,placed on ir
2010-08-27,Lions,,• Jared DeVries,placed on ir with knee injury
