Date,Team,Acquired,Relinquished,Notes
2020-01-01,Eagles,,• Brandon Brooks,placed on IR with separated right shoulder
2020-01-03,Vikings,,• Mike Hughes (b. 1997-02-11),placed on IR with neck injury
2020-01-06,Redskins,• Cassanova McKinzy,,activated from practice squad IR
2020-01-07,Chiefs,,• Juan Thornhill,placed on IR with torn ACL in knee
2020-01-07,Ravens,,• Antoine Wesley,placed on practice squad IR with undisclosed injury
2020-01-08,Ravens,,• Parker Ehinger,placed on IR with shoulder injury
2020-01-08,Seahawks,,• Mychal Kendricks,placed on IR with torn ACL in knee
2020-01-10,49ers,,• Kentavius Street,placed on IR with knee injury
2020-01-10,49ers,• Kwon Alexander,,activated from IR
2020-01-10,Vikings,,• Mackensie Alexander,placed on IR with knee injury
2020-01-10,Broncos,• Dymonte Thomas,,activated from IR
2020-01-13,Falcons,• Alex Gray (b. 1991-05-01),,activated from IR
2020-01-13,Falcons,• Ra'Shede Hageman,,activated from IR
2020-01-18,Packers,• Raven Greene,,activated from IR
2020-02-03,49ers,• Andrew Lauderdale,,activated from IR
2020-02-03,49ers,• D.J. Jones (Oliver),,activated from IR
2020-02-03,49ers,• Damontre Moore,,activated from IR
2020-02-03,49ers,• Garrett Celek,,activated from IR
2020-02-03,49ers,• Jalen Hurd,,activated from IR
2020-02-03,49ers,• Jason Verrett,,activated from IR
2020-02-03,49ers,• Jerick McKinnon,,activated from IR
2020-02-03,49ers,• Jullian Taylor,,activated from IR
2020-02-03,49ers,• Kentavius Street,,activated from IR
2020-02-03,49ers,• Marquise Goodwin,,activated from IR
2020-02-03,49ers,• Ronald Blair,,activated from IR
2020-02-03,49ers,• Shawn Poindexter,,activated from IR
2020-02-03,49ers,• Shon Coleman,,activated from IR
2020-02-03,49ers,• Tim Harris Jr.,,activated from IR
2020-02-03,49ers,• Trent Taylor,,activated from IR
2020-02-03,49ers,• Weston Richburg,,activated from IR
2020-02-03,Bears,• Adam Shaheen,,activated from IR
2020-02-03,Bears,• Ben Braunecker,,activated from IR
2020-02-03,Bears,• Danny Trevathan,,activated from IR
2020-02-03,Bears,• Josh Simmons,,activated from IR
2020-02-03,Bears,• Kyle Long,,activated from IR
2020-02-03,Bears,• Roquan Smith,,activated from IR
2020-02-03,Bears,• Sherrick McManis,,activated from IR
2020-02-03,Bears,• T.J. Clemmings,,activated from IR
2020-02-03,Bears,• Trey Burton,,activated from IR
2020-02-03,Bengals,• A.J. Green (Adriel Jeremiah),,activated from IR
2020-02-03,Bengals,• Alex Redmond,,activated from IR
2020-02-03,Bengals,• Auden Tate,,activated from IR
2020-02-03,Bengals,• Brandon Wilson,,activated from IR
2020-02-03,Bengals,• Dre Kirkpatrick,,activated from IR
2020-02-03,Bengals,• Drew Sample,,activated from IR
2020-02-03,Bengals,• Kerry Wynn,,activated from IR
2020-02-03,Bengals,• Niles Scott,,activated from IR
2020-02-03,Bengals,• O'Shea Dugas,,activated from IR
2020-02-03,Bengals,• Renell Wren,,activated from IR
2020-02-03,Bengals,• Rodney Anderson,,activated from IR
2020-02-03,Bengals,• Ryan Glasgow,,activated from IR
2020-02-03,Bengals,• William Jackson III,,activated from IR
2020-02-03,Bills,• Harrison Phillips,,activated from IR
2020-02-03,Bills,• Jason Croom,,activated from IR
2020-02-03,Bills,• LaAdrian Waddle,,activated from IR
2020-02-03,Bills,• Maurice Alexander,,activated from IR
2020-02-03,Bills,• Mike Love (b. 1994-01-22),,activated from IR
2020-02-03,Bills,• Vosean Joseph,,activated from IR
2020-02-03,Broncos,• Adam Gotsis,,activated from IR
2020-02-03,Broncos,• Andy Janovich,,activated from IR
2020-02-03,Broncos,• Austin Fort,,activated from IR
2020-02-03,Broncos,• Billy Winn,,activated from IR
2020-02-03,Broncos,• Bradley Chubb,,activated from IR
2020-02-03,Broncos,• Bryce Callahan,,activated from IR
2020-02-03,Broncos,• Corey Nelson,,activated from IR
2020-02-03,Broncos,• Cyrus Jones,,activated from reserve/non-football injury list / non-football illness list
2020-02-03,Broncos,• De'Vante Bausby / DeVante Bausby,,activated from IR
2020-02-03,Broncos,• Derek Wolfe,,activated from IR
2020-02-03,Broncos,• Horace Richardson,,activated from IR
2020-02-03,Broncos,• Jake Butt,,activated from IR
2020-02-03,Broncos,• Joe Flacco,,activated from IR
2020-02-03,Broncos,• Juwann Winfree,,activated from IR
