team_abbr,season,avg_opponent_pass_epa
ARI,2018,0.03152491
ATL,2018,0.07570966
BAL,2018,0.05201982
BUF,2018,0.009048812
CAR,2018,0.06615784
CHI,2018,0.037970804
CIN,2018,0.033791225
CLE,2018,0.05368471
DAL,2018,0.05710488
DEN,2018,0.031874347
DET,2018,0.007231946
GB,2018,-0.00611556
HOU,2018,0.016572893
IND,2018,0.029891133
JAX,2018,0.021652013
KC,2018,0.025024401
LA,2018,0.03319067
LAC,2018,0.024343356
MIA,2018,-0.003635571
MIN,2018,0.031576075
NE,2018,0.004994475
NO,2018,0.059760243
NYG,2018,0.045319427
NYJ,2018,-0.006351409
OAK,2018,0.03214709
PHI,2018,0.041282054
PIT,2018,0.04255799
SEA,2018,0.03545595
SF,2018,0.02577737
TB,2018,0.056278113
TEN,2018,0.009323124
WAS,2018,0.06458592
ARI,2019,0.004881634
ATL,2019,0.018785335
BAL,2019,0.013195359
BUF,2019,0.019048922
CAR,2019,0.04293604
CHI,2019,0.033500705
CIN,2019,-0.030991523
CLE,2019,-0.011796974
DAL,2019,0.041035194
DEN,2019,0.025272379
DET,2019,0.025489721
GB,2019,0.027878672
HOU,2019,0.006193194
IND,2019,0.052795835
JAX,2019,0.05485951
KC,2019,0.006781403
LA,2019,0.010838929
LAC,2019,0.031250928
MIA,2019,-0.017665174
MIN,2019,0.05367205
NE,2019,0.04606132
NO,2019,0.035927385
NYG,2019,0.02881312
NYJ,2019,0.005515216
OAK,2019,0.04344977
PHI,2019,0.044405393
PIT,2019,0.011821044
SEA,2019,0.005700142
SF,2019,0.03880248
TB,2019,0.061617047
TEN,2019,0.044406664
WAS,2019,0.01133364
ARI,2020,0.034151647
ATL,2020,0.064562514
BAL,2020,0.0696412
BUF,2020,0.042374015
CAR,2020,0.056065865
CHI,2020,0.10003755
CIN,2020,0.043029454
CLE,2020,0.06781257
DAL,2020,0.024790712
DEN,2020,0.06182024
DET,2020,0.07628672
GB,2020,0.116303705
HOU,2020,0.09684313
IND,2020,0.1436799
JAX,2020,0.09309268
KC,2020,0.07272215
LA,2020,0.03644945
LAC,2020,0.075409055
LV,2020,0.048290774
MIA,2020,0.0753505
MIN,2020,0.111193106
NE,2020,0.0476752
NO,2020,0.08150795
NYG,2020,0.009893209
NYJ,2020,0.027098445
PHI,2020,0.006848845
PIT,2020,0.07966245
SEA,2020,0.016791783
SF,2020,0.012677608
TB,2020,0.0709579
TEN,2020,0.10302499
WAS,2020,0.05083388
ARI,2021,0.018573288
ATL,2021,0.001026146
BAL,2021,0.013176538
BUF,2021,0.041309588
CAR,2021,0.004484822
CHI,2021,0.022849798
CIN,2021,0.058091793
CLE,2021,0.040955
DAL,2021,0.0280718
DEN,2021,0.07066842
DET,2021,0.01371268
GB,2021,0.031517282
HOU,2021,0.022998646
IND,2021,0.049095754
JAX,2021,0.026141085
KC,2021,0.019397646
LA,2021,0.040338974
LAC,2021,0.03612271
LV,2021,0.0220574
MIA,2021,0.0394654
MIN,2021,0.01855726
NE,2021,0.013372356
NO,2021,0.009710815
NYG,2021,0.011799677
NYJ,2021,-0.007971469
PHI,2021,0.03302644
PIT,2021,0.028189132
SEA,2021,0.021555629
SF,2021,0.041426253
TB,2021,0.008555921
TEN,2021,0.042211823
WAS,2021,-0.002232303
ARI,2022,-0.008649544
ATL,2022,0.002859151
BAL,2022,-0.005628953
BUF,2022,0.002920119
CAR,2022,0.011279171
CHI,2022,-0.018064633
CIN,2022,0.001137324
CLE,2022,-0.006903131
DAL,2022,0.000783028
DEN,2022,0.008634296
DET,2022,0.002522436
GB,2022,0.010451383
HOU,2022,0.002346152
IND,2022,-0.007053793
JAX,2022,-0.012393085
KC,2022,0.000828486
LA,2022,-0.006666541
LAC,2022,0.015900591
LV,2022,-0.016773295
MIA,2022,-0.02128195
MIN,2022,-0.007614138
NE,2022,0.011756154
NO,2022,0.026340684
NYG,2022,-0.009197803
NYJ,2022,0.001904587
PHI,2022,0.006133889
PIT,2022,-0.013786365
SEA,2022,0.000857355
SF,2022,0.026827354
TB,2022,0.006314393
TEN,2022,-0.019904962
WAS,2022,-0.005757236
ARI,2023,-0.022057883
ATL,2023,0.00560063
BAL,2023,-0.012523704
BUF,2023,-0.020243721
CAR,2023,-0.008762591
CHI,2023,0.006263871
CIN,2023,-0.055004884
CLE,2023,-0.019092074
DAL,2023,0.017187078
DEN,2023,-0.030149113
DET,2023,-0.019159209
GB,2023,-0.008868595
HOU,2023,-0.023470834
IND,2023,-0.028286608
JAX,2023,-0.038715467
KC,2023,-0.002819249
LA,2023,-0.010258163
LAC,2023,-0.036350995
LV,2023,-0.021002825
MIA,2023,-0.035157714
MIN,2023,-0.00056376
NE,2023,-0.045215458
NO,2023,0.007729944
NYG,2023,-0.001666885
NYJ,2023,-0.027849952
PHI,2023,-0.011155832
PIT,2023,-0.032170348
SEA,2023,-0.001220789
SF,2023,0.005773502
TB,2023,-0.015060146
TEN,2023,-0.03321675
WAS,2023,-0.015542692
ARI,2024,0.017385777
ATL,2024,0.027215615
BAL,2024,0.02012204
BUF,2024,0.040695008
CAR,2024,0.027795546
CHI,2024,0.02087852
CIN,2024,0.033448003
CLE,2024,0.024002
DAL,2024,0.026176287
DEN,2024,0.0395709
DET,2024,0.016149044
GB,2024,0.002004378
HOU,2024,0.048073098
IND,2024,0.02493779
JAX,2024,0.009678172
KC,2024,0.013907778
LA,2024,0.012620894
LAC,2024,0.044660028
LV,2024,0.02709527
MIA,2024,0.050024286
MIN,2024,0.0203183
NE,2024,0.029932909
NO,2024,0.04141826
NYG,2024,0.026173845
NYJ,2024,0.036275394
PHI,2024,0.05773377
PIT,2024,0.027925517
SEA,2024,0.023640273
SF,2024,0.022906438
TB,2024,0.031634495
TEN,2024,0.02808848
WAS,2024,0.03669504
