team_abbr,season,avg_opponent_pass_epa
ARI,2023,-0.022057883
ATL,2023,0.0056006303
BAL,2023,-0.012523704
BUF,2023,-0.020243721
CAR,2023,-0.008762591
CHI,2023,0.0062638707
CIN,2023,-0.055004884
CLE,2023,-0.019092074
DAL,2023,0.017187078
DEN,2023,-0.030149113
DET,2023,-0.019159209
GB,2023,-0.008868595
HOU,2023,-0.023470834
IND,2023,-0.028286608
JAX,2023,-0.038715467
KC,2023,-0.002819249
LA,2023,-0.010258163
LAC,2023,-0.036350995
LV,2023,-0.021002825
MIA,2023,-0.035157714
MIN,2023,-0.00056376
NE,2023,-0.045215458
NO,2023,0.007729944
NYG,2023,-0.0016668853
NYJ,2023,-0.027849952
PHI,2023,-0.011155832
PIT,2023,-0.032170348
SEA,2023,-0.001220789
SF,2023,0.0057735024
TB,2023,-0.015060146
TEN,2023,-0.03321675
WAS,2023,-0.015542692
