team_abbr,season,total_round_trip_miles
ARI,2018,15696.0081
ARI,2019,21850.53193
ARI,2020,22615.58572
ARI,2021,22905.15351
ARI,2022,15121.32743
ARI,2023,24422.64928
ARI,2024,21047.71692
ATL,2018,8246.980691
ATL,2019,13627.09298
ATL,2020,12167.0377
ATL,2021,12470.02879
ATL,2022,13351.79496
ATL,2023,10192.44223
ATL,2024,12280.86194
BAL,2018,11479.66212
BAL,2019,15488.31238
BAL,2020,8024.270075
BAL,2021,12968.33427
BAL,2022,9130.145214
BAL,2023,17936.40421
BAL,2024,15950.87671
BUF,2018,10071.57274
BUF,2019,11158.06649
BUF,2020,21727.15594
BUF,2021,14339.7188
BUF,2022,11665.80407
BUF,2023,11686.28426
BUF,2024,18443.3544
CAR,2018,6950.342707
CAR,2019,15103.22834
CAR,2020,12642.02966
CAR,2021,13511.42938
CAR,2022,14038.67818
CAR,2023,12156.88602
CAR,2024,12061.30735
CHI,2018,12825.42167
CHI,2019,12475.30377
CHI,2020,11587.30507
CHI,2021,15003.61445
CHI,2022,8857.31438
CHI,2023,11359.62658
CHI,2024,11575.24951
CIN,2018,8279.790101
CIN,2019,15572.18963
CIN,2020,7505.353931
CIN,2021,11007.81672
CIN,2022,11334.72454
CIN,2023,11815.93203
CIN,2024,10603.99438
CLE,2018,13363.3961
CLE,2019,13418.22246
CLE,2020,9047.314267
CLE,2021,9883.479839
CLE,2022,8639.68954
CLE,2023,16893.51422
CLE,2024,12139.78337
DAL,2018,18985.53715
DAL,2019,18251.1564
DAL,2020,19448.69305
DAL,2021,18791.29032
DAL,2022,21745.28574
DAL,2023,21444.55959
DAL,2024,18295.44008
DEN,2018,15500.69311
DEN,2019,13782.74332
DEN,2020,18555.71152
DEN,2021,16599.1994
DEN,2022,18438.29314
DEN,2023,16113.31201
DEN,2024,22452.72913
DET,2018,14427.63533
DET,2019,13055.6118
DET,2020,10345.77332
DET,2021,14078.10139
DET,2022,8285.494242
DET,2023,18231.83526
DET,2024,14410.27426
GB,2018,12895.67296
GB,2019,16682.30513
GB,2020,12380.53793
GB,2021,13336.65253
GB,2022,10346.77583
GB,2023,17450.51153
GB,2024,14447.11164
HOU,2018,17678.83402
HOU,2019,14809.98987
HOU,2020,14674.35299
HOU,2021,16754.13167
HOU,2022,16082.45908
HOU,2023,17664.30932
HOU,2024,18152.71086
IND,2018,14502.58425
IND,2019,11926.73936
IND,2020,9697.411646
IND,2021,14422.55827
IND,2022,14275.45688
IND,2023,8154.329166
IND,2024,11496.72261
JAX,2018,11845.4414
